PLANTSPECIES,SUBSP_OR_VARIETY,FRUIT_LENGTH_mm,FRUIT_DIAMETER_mm,PLANT_MAX_MEAN_VEGETATIVE_HEIGHT_m,FRUIT_SIZE_REFERENCE,PLANT_HEIGHT_REFERENCE_IF_DIFFERENT_FROM_THAT_OF_FRUIT_SIZE,NOTES
Astelia_fragrans,,7.5,7.5,1,Flora of NZ Series H. H. Allan -  https://www.southernwoods.co.nz/shop/astelia-fragrans/,,
Astelia_nervosa,,11.5,6.5,1,Flora of NZ Series H. H. Allan -  https://www.doc.govt.nz/get-involved/conservation-activities/attract-birds-to-your-garden/what-to-plant/ -  https://www.southernwoods.co.nz/shop/astelia-nervosa-westland/,,
Astelia_nivicola,,9,6.833333,0.5,,,"Fruit size calculated as the mean fruit size of A. banksii, A. fragans and A. nervosa."
Astelia_sp,,9,6.833333,0.95,,,"Fruit size estimated as the mean fruit size of A. banksii, A. fragans and A. nervosa. Plant height calculated as the average height of the three previously mentioned species and A. nivicola."
Beilschmiedia_tarairi,,30,25,20,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Beilschmiedia_tawa,,25,15,24,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Berberis_darwinii,,22,6,4,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Berberis_glaucocarpa,,9,7,7,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Carpodetus_serratus,,5,4,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Cestrum_nocturnum,,75,75,2.5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Citrus_paradisi,,66.4,91.5,13,,Encyclopedia of life http://eol.org/pages/582202/hierarchy_entries/58896302/details,Fruit size measured from fresh fruit.
Citrus_paradisi,,68.8,92.3,13,,Encyclopedia of life http://eol.org/pages/582202/hierarchy_entries/58896302/details,Fruit size measured from fresh fruit.
Citrus_paradisi,,69.5,100.5,13,,Encyclopedia of life http://eol.org/pages/582202/hierarchy_entries/58896302/details,Fruit size measured from fresh fruit.
Citrus_paradisi,,67.5,90.3,13,,Encyclopedia of life http://eol.org/pages/582202/hierarchy_entries/58896302/details,Fruit size measured from fresh fruit.
Citrus_sinensis,,60,60,10,"Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database; Brunetto et al. ‘Fruit yield and composition in orange trees cv. ‘Lane Late’ in response to nitrogen fertilization in Sandy Typic Hapludalf soil’ Ciencia Rural, Santa Maria, vol47, e20140869.",,
Coprosma_acerosa,,7,7,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coprosma_arborea,,7,5,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coprosma_areolata,,5,5,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coprosma_cheesemanii,,6.5,6.5,1,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  Flora of NZ Series H. H. Allan,,
Coprosma_colensoi,,6,3.9,3,University of Canterbury herbarium specimen number 32498,Flora of NZ Series H. H. Allan,Fruit length also available at H. H. Allan Flora of NZ Series (6.5mm).
Coprosma_colensoi,,6.7,4,3,University of Canterbury herbarium specimen number 8356,Flora of NZ Series H. H. Allan,Fruit length also available at H. H. Allan Flora of NZ Series (6.5mm).
Coprosma_colensoi,,6.2,4.3,3,University of Canterbury herbarium specimen number 36703,Flora of NZ Series H. H. Allan,Fruit length also available at H. H. Allan Flora of NZ Series (6.5mm).
Coprosma_crassifolia,,6,6,4,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coprosma_cuneata,,4,4,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database - Flora of NZ Series H. H. Allan,,
Coprosma_depressa,,5.5,5.5,1,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – Flora of NZ Series H. H. Allan,,
Coprosma_foetidissima,,9,8,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database - NZ Plant Conservation Network,,
Coprosma_fowerakeri,,5,5,0.6,NZ Plant Conservation Network,,
Coprosma_grandifolia,,80,70,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coprosma_intertexta,,4.3,2.9,2,University of Canterbury herbarium specimen number 5415,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1. Fruit length also available at Eco Traits NZ Flora database (4mm).
Coprosma_intertexta,,4,2.5,2,University of Canterbury herbarium specimen number 5415,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2. Fruit length also available at Eco Traits NZ Flora database (4mm).
Coprosma_intertexta,,4.6,2.5,2,University of Canterbury herbarium specimen number 5415,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 3. Fruit length also available at Eco Traits NZ Flora database (4mm).
Coprosma_linariifolia,,6,5,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coprosma_lucida,,8,5.3,6,University of Canterbury herbarium specimen number 25026,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora database (10mm). 
