"net_id";"bird.sp";"plant.sp";"interaction"
"NZ06";"Hemiphaga_novaeseelandiae";"Pittosporum_eugenioides";0
"NZ06";"Hemiphaga_novaeseelandiae";"Neopanax_arboreus";0
"NZ06";"Turdus_philomelos";"Aristotelia_serrata";0
"NZ06";"Turdus_philomelos";"Coprosma_grandifolia";0
"NZ06";"Turdus_philomelos";"Coprosma_robusta";0
"NZ06";"Turdus_philomelos";"Macropiper_excelsum";1
"NZ06";"Turdus_philomelos";"Melicytus_ramiflorus";0
"NZ06";"Turdus_philomelos";"Pittosporum_eugenioides";0
"NZ06";"Turdus_philomelos";"Neopanax_arboreus";0
"NZ06";"Zosterops_lateralis";"Aristotelia_serrata";1
"NZ06";"Zosterops_lateralis";"Coprosma_grandifolia";1
"NZ06";"Zosterops_lateralis";"Coprosma_robusta";1
"NZ06";"Zosterops_lateralis";"Macropiper_excelsum";0
"NZ06";"Zosterops_lateralis";"Melicytus_ramiflorus";1
"NZ06";"Zosterops_lateralis";"Pittosporum_eugenioides";1
"NZ06";"Zosterops_lateralis";"Neopanax_arboreus";1
"NZ07";"Anthornis_melanura";"Carpodetus_serratus";0
"NZ07";"Anthornis_melanura";"Coriaria_arborea";0
"NZ07";"Anthornis_melanura";"Coprosma_grandifolia";1
"NZ07";"Anthornis_melanura";"Coprosma_robusta";1
"NZ07";"Anthornis_melanura";"Dacrycarpus_dacrydioides";1
"NZ07";"Anthornis_melanura";"Fuchsia_excorticata";0
"NZ07";"Anthornis_melanura";"Melicytus_ramiflorus";0
"NZ07";"Anthornis_melanura";"Podocarpus_totara";1
"NZ07";"Anthornis_melanura";"Prumnopitys_taxifolia";1
"NZ07";"Anthornis_melanura";"Neopanax_arboreus";1
"NZ07";"Turdus_merula";"Carpodetus_serratus";0
"NZ07";"Turdus_merula";"Coriaria_arborea";0
"NZ07";"Turdus_merula";"Coprosma_grandifolia";1
"NZ07";"Turdus_merula";"Coprosma_robusta";0
"NZ07";"Turdus_merula";"Dacrycarpus_dacrydioides";0
"NZ07";"Turdus_merula";"Fuchsia_excorticata";0
"NZ07";"Turdus_merula";"Melicytus_ramiflorus";0
"NZ07";"Turdus_merula";"Podocarpus_totara";0
"NZ07";"Turdus_merula";"Prumnopitys_taxifolia";0
"NZ07";"Turdus_merula";"Neopanax_arboreus";1
"NZ07";"Hemiphaga_novaeseelandiae";"Carpodetus_serratus";1
"NZ07";"Hemiphaga_novaeseelandiae";"Coriaria_arborea";0
"NZ07";"Hemiphaga_novaeseelandiae";"Coprosma_grandifolia";0
"NZ07";"Hemiphaga_novaeseelandiae";"Coprosma_robusta";0
"NZ07";"Hemiphaga_novaeseelandiae";"Dacrycarpus_dacrydioides";0
"NZ07";"Hemiphaga_novaeseelandiae";"Fuchsia_excorticata";1
"NZ07";"Hemiphaga_novaeseelandiae";"Melicytus_ramiflorus";0
"NZ07";"Hemiphaga_novaeseelandiae";"Podocarpus_totara";0
"NZ07";"Hemiphaga_novaeseelandiae";"Prumnopitys_taxifolia";1
"NZ07";"Hemiphaga_novaeseelandiae";"Neopanax_arboreus";1
"NZ07";"Turdus_philomelos";"Carpodetus_serratus";0
"NZ07";"Turdus_philomelos";"Coriaria_arborea";0
"NZ07";"Turdus_philomelos";"Coprosma_grandifolia";1
"NZ07";"Turdus_philomelos";"Coprosma_robusta";0
"NZ07";"Turdus_philomelos";"Dacrycarpus_dacrydioides";0
"NZ07";"Turdus_philomelos";"Fuchsia_excorticata";0
"NZ07";"Turdus_philomelos";"Melicytus_ramiflorus";0
"NZ07";"Turdus_philomelos";"Podocarpus_totara";0
"NZ07";"Turdus_philomelos";"Prumnopitys_taxifolia";0
"NZ07";"Turdus_philomelos";"Neopanax_arboreus";1
"NZ07";"Zosterops_lateralis";"Carpodetus_serratus";0
"NZ07";"Zosterops_lateralis";"Coriaria_arborea";1
"NZ07";"Zosterops_lateralis";"Coprosma_grandifolia";1
"NZ07";"Zosterops_lateralis";"Coprosma_robusta";0
"NZ07";"Zosterops_lateralis";"Dacrycarpus_dacrydioides";0
"NZ07";"Zosterops_lateralis";"Fuchsia_excorticata";1
"NZ07";"Zosterops_lateralis";"Melicytus_ramiflorus";1
"NZ07";"Zosterops_lateralis";"Podocarpus_totara";0
"NZ07";"Zosterops_lateralis";"Prumnopitys_taxifolia";0
"NZ07";"Zosterops_lateralis";"Neopanax_arboreus";1
"NZ08";"Anthornis_melanura";"Coprosma_grandifolia";0
"NZ08";"Anthornis_melanura";"Coprosma_robusta";1
"NZ08";"Anthornis_melanura";"Crataegus_monogyna";0
"NZ08";"Anthornis_melanura";"Fuchsia_excorticata";0
"NZ08";"Anthornis_melanura";"Hedycarya_arborea";0
"NZ08";"Anthornis_melanura";"Malus_domestica";1
"NZ08";"Anthornis_melanura";"Macropiper_excelsum";0
"NZ08";"Anthornis_melanura";"Melicytus_ramiflorus";0
"NZ08";"Anthornis_melanura";"Rapanea_australis";0
"NZ08";"Anthornis_melanura";"Myoporum_laetum";0
"NZ08";"Anthornis_melanura";"Pittosporum_eugenioides";0
"NZ08";"Anthornis_melanura";"Pittosporum_tenuifolium";0
"NZ08";"Anthornis_melanura";"Podocarpus_totara";1
"NZ08";"Anthornis_melanura";"Pectinopitys_ferruginea";0
"NZ08";"Anthornis_melanura";"Prumnopitys_taxifolia";1
"NZ08";"Anthornis_melanura";"Neopanax_arboreus";1
"NZ08";"Turdus_merula";"Coprosma_grandifolia";1
"NZ08";"Turdus_merula";"Coprosma_robusta";1
"NZ08";"Turdus_merula";"Crataegus_monogyna";0
"NZ08";"Turdus_merula";"Fuchsia_excorticata";0
"NZ08";"Turdus_merula";"Hedycarya_arborea";0
"NZ08";"Turdus_merula";"Malus_domestica";0
"NZ08";"Turdus_merula";"Macropiper_excelsum";0
"NZ08";"Turdus_merula";"Melicytus_ramiflorus";1
"NZ08";"Turdus_merula";"Rapanea_australis";0
"NZ08";"Turdus_merula";"Myoporum_laetum";1
"NZ08";"Turdus_merula";"Pittosporum_eugenioides";0
"NZ08";"Turdus_merula";"Pittosporum_tenuifolium";0
"NZ08";"Turdus_merula";"Podocarpus_totara";1
"NZ08";"Turdus_merula";"Pectinopitys_ferruginea";0
"NZ08";"Turdus_merula";"Prumnopitys_taxifolia";1
"NZ08";"Turdus_merula";"Neopanax_arboreus";1
"NZ08";"Hemiphaga_novaeseelandiae";"Coprosma_grandifolia";0
"NZ08";"Hemiphaga_novaeseelandiae";"Coprosma_robusta";0
"NZ08";"Hemiphaga_novaeseelandiae";"Crataegus_monogyna";0
"NZ08";"Hemiphaga_novaeseelandiae";"Fuchsia_excorticata";1
"NZ08";"Hemiphaga_novaeseelandiae";"Hedycarya_arborea";1
"NZ08";"Hemiphaga_novaeseelandiae";"Malus_domestica";0
"NZ08";"Hemiphaga_novaeseelandiae";"Macropiper_excelsum";1
"NZ08";"Hemiphaga_novaeseelandiae";"Melicytus_ramiflorus";1
"NZ08";"Hemiphaga_novaeseelandiae";"Rapanea_australis";0
"NZ08";"Hemiphaga_novaeseelandiae";"Myoporum_laetum";0
"NZ08";"Hemiphaga_novaeseelandiae";"Pittosporum_eugenioides";0
"NZ08";"Hemiphaga_novaeseelandiae";"Pittosporum_tenuifolium";0
"NZ08";"Hemiphaga_novaeseelandiae";"Podocarpus_totara";1
"NZ08";"Hemiphaga_novaeseelandiae";"Pectinopitys_ferruginea";1
"NZ08";"Hemiphaga_novaeseelandiae";"Prumnopitys_taxifolia";1
"NZ08";"Hemiphaga_novaeseelandiae";"Neopanax_arboreus";1
"NZ08";"Turdus_philomelos";"Coprosma_grandifolia";0
"NZ08";"Turdus_philomelos";"Coprosma_robusta";1
"NZ08";"Turdus_philomelos";"Crataegus_monogyna";0
"NZ08";"Turdus_philomelos";"Fuchsia_excorticata";0
"NZ08";"Turdus_philomelos";"Hedycarya_arborea";0
"NZ08";"Turdus_philomelos";"Malus_domestica";0
"NZ08";"Turdus_philomelos";"Macropiper_excelsum";0
"NZ08";"Turdus_philomelos";"Melicytus_ramiflorus";0
"NZ08";"Turdus_philomelos";"Rapanea_australis";0
"NZ08";"Turdus_philomelos";"Myoporum_laetum";1
"NZ08";"Turdus_philomelos";"Pittosporum_eugenioides";0
"NZ08";"Turdus_philomelos";"Pittosporum_tenuifolium";0
"NZ08";"Turdus_philomelos";"Podocarpus_totara";1
"NZ08";"Turdus_philomelos";"Pectinopitys_ferruginea";0
"NZ08";"Turdus_philomelos";"Prumnopitys_taxifolia";1
"NZ08";"Turdus_philomelos";"Neopanax_arboreus";1
"NZ08";"Sturnus_vulgaris";"Coprosma_grandifolia";0
"NZ08";"Sturnus_vulgaris";"Coprosma_robusta";0
"NZ08";"Sturnus_vulgaris";"Crataegus_monogyna";0
"NZ08";"Sturnus_vulgaris";"Fuchsia_excorticata";0
"NZ08";"Sturnus_vulgaris";"Hedycarya_arborea";0
