"cell_id";"species";"observations";"guild";"status";"record.type"
7;"Anas_chlorotis";2;"birds";"Native";"TIER1"
1;"Anthornis_melanura";2;"birds";"Native";"TIER1"
2;"Anthornis_melanura";2;"birds";"Native";"TIER1"
4;"Anthornis_melanura";3;"birds";"Native";"TIER1"
5;"Anthornis_melanura";3;"birds";"Native";"TIER1"
7;"Anthornis_melanura";4;"birds";"Native";"TIER1"
8;"Anthornis_melanura";24;"birds";"Native";"TIER1"
9;"Anthornis_melanura";7;"birds";"Native";"TIER1"
10;"Anthornis_melanura";19;"birds";"Native";"TIER1"
12;"Anthornis_melanura";8;"birds";"Native";"TIER1"
13;"Anthornis_melanura";25;"birds";"Native";"TIER1"
14;"Anthornis_melanura";24;"birds";"Native";"TIER1"
15;"Anthornis_melanura";42;"birds";"Native";"TIER1"
16;"Anthornis_melanura";27;"birds";"Native";"TIER1"
17;"Anthornis_melanura";2;"birds";"Native";"TIER1"
18;"Anthornis_melanura";67;"birds";"Native";"TIER1"
19;"Anthornis_melanura";56;"birds";"Native";"TIER1"
20;"Anthornis_melanura";16;"birds";"Native";"TIER1"
22;"Anthornis_melanura";6;"birds";"Native";"TIER1"
25;"Anthornis_melanura";13;"birds";"Native";"TIER1"
27;"Anthornis_melanura";162;"birds";"Native";"TIER1"
28;"Anthornis_melanura";67;"birds";"Native";"TIER1"
29;"Anthornis_melanura";22;"birds";"Native";"TIER1"
30;"Anthornis_melanura";26;"birds";"Native";"TIER1"
31;"Anthornis_melanura";32;"birds";"Native";"TIER1"
32;"Anthornis_melanura";252;"birds";"Native";"TIER1"
33;"Anthornis_melanura";96;"birds";"Native";"TIER1"
36;"Anthornis_melanura";17;"birds";"Native";"TIER1"
37;"Anthornis_melanura";119;"birds";"Native";"TIER1"
38;"Anthornis_melanura";107;"birds";"Native";"TIER1"
40;"Anthornis_melanura";52;"birds";"Native";"TIER1"
41;"Anthornis_melanura";111;"birds";"Native";"TIER1"
42;"Anthornis_melanura";10;"birds";"Native";"TIER1"
45;"Anthornis_melanura";56;"birds";"Native";"TIER1"
46;"Anthornis_melanura";121;"birds";"Native";"TIER1"
47;"Anthornis_melanura";11;"birds";"Native";"TIER1"
48;"Anthornis_melanura";1;"birds";"Native";"TIER1"
49;"Anthornis_melanura";187;"birds";"Native";"TIER1"
50;"Anthornis_melanura";49;"birds";"Native";"TIER1"
51;"Anthornis_melanura";10;"birds";"Native";"TIER1"
52;"Anthornis_melanura";4;"birds";"Native";"TIER1"
53;"Anthornis_melanura";55;"birds";"Native";"TIER1"
54;"Anthornis_melanura";31;"birds";"Native";"TIER1"
55;"Anthornis_melanura";18;"birds";"Native";"TIER1"
1;"Anthus_novaeseelandiae";2;"birds";"Native";"TIER1"
2;"Anthus_novaeseelandiae";3;"birds";"Native";"TIER1"
4;"Anthus_novaeseelandiae";1;"birds";"Native";"TIER1"
5;"Anthus_novaeseelandiae";2;"birds";"Native";"TIER1"
6;"Anthus_novaeseelandiae";3;"birds";"Native";"TIER1"
7;"Anthus_novaeseelandiae";1;"birds";"Native";"TIER1"
10;"Anthus_novaeseelandiae";1;"birds";"Native";"TIER1"
14;"Anthus_novaeseelandiae";2;"birds";"Native";"TIER1"
18;"Anthus_novaeseelandiae";4;"birds";"Native";"TIER1"
19;"Anthus_novaeseelandiae";23;"birds";"Native";"TIER1"
20;"Anthus_novaeseelandiae";4;"birds";"Native";"TIER1"
25;"Anthus_novaeseelandiae";1;"birds";"Native";"TIER1"
27;"Anthus_novaeseelandiae";20;"birds";"Native";"TIER1"
28;"Anthus_novaeseelandiae";2;"birds";"Native";"TIER1"
29;"Anthus_novaeseelandiae";2;"birds";"Native";"TIER1"
31;"Anthus_novaeseelandiae";4;"birds";"Native";"TIER1"
32;"Anthus_novaeseelandiae";59;"birds";"Native";"TIER1"
33;"Anthus_novaeseelandiae";66;"birds";"Native";"TIER1"
36;"Anthus_novaeseelandiae";3;"birds";"Native";"TIER1"
37;"Anthus_novaeseelandiae";38;"birds";"Native";"TIER1"
38;"Anthus_novaeseelandiae";52;"birds";"Native";"TIER1"
40;"Anthus_novaeseelandiae";17;"birds";"Native";"TIER1"
41;"Anthus_novaeseelandiae";67;"birds";"Native";"TIER1"
42;"Anthus_novaeseelandiae";42;"birds";"Native";"TIER1"
43;"Anthus_novaeseelandiae";2;"birds";"Native";"TIER1"
45;"Anthus_novaeseelandiae";14;"birds";"Native";"TIER1"
46;"Anthus_novaeseelandiae";80;"birds";"Native";"TIER1"
47;"Anthus_novaeseelandiae";29;"birds";"Native";"TIER1"
48;"Anthus_novaeseelandiae";8;"birds";"Native";"TIER1"
49;"Anthus_novaeseelandiae";43;"birds";"Native";"TIER1"
50;"Anthus_novaeseelandiae";29;"birds";"Native";"TIER1"
51;"Anthus_novaeseelandiae";8;"birds";"Native";"TIER1"
52;"Anthus_novaeseelandiae";1;"birds";"Native";"TIER1"
53;"Anthus_novaeseelandiae";13;"birds";"Native";"TIER1"
54;"Anthus_novaeseelandiae";2;"birds";"Native";"TIER1"
1;"Branta_canadensis";1;"birds";"Exotic";"TIER1"
2;"Branta_canadensis";4;"birds";"Exotic";"TIER1"
6;"Branta_canadensis";1;"birds";"Exotic";"TIER1"
10;"Branta_canadensis";3;"birds";"Exotic";"TIER1"
15;"Branta_canadensis";2;"birds";"Exotic";"TIER1"
19;"Branta_canadensis";5;"birds";"Exotic";"TIER1"
20;"Branta_canadensis";2;"birds";"Exotic";"TIER1"
22;"Branta_canadensis";1;"birds";"Exotic";"TIER1"
28;"Branta_canadensis";2;"birds";"Exotic";"TIER1"
29;"Branta_canadensis";5;"birds";"Exotic";"TIER1"
32;"Branta_canadensis";14;"birds";"Exotic";"TIER1"
33;"Branta_canadensis";36;"birds";"Exotic";"TIER1"
36;"Branta_canadensis";1;"birds";"Exotic";"TIER1"
37;"Branta_canadensis";15;"birds";"Exotic";"TIER1"
38;"Branta_canadensis";14;"birds";"Exotic";"TIER1"
41;"Branta_canadensis";15;"birds";"Exotic";"TIER1"
42;"Branta_canadensis";8;"birds";"Exotic";"TIER1"
43;"Branta_canadensis";7;"birds";"Exotic";"TIER1"
46;"Branta_canadensis";14;"birds";"Exotic";"TIER1"
47;"Branta_canadensis";4;"birds";"Exotic";"TIER1"
49;"Branta_canadensis";26;"birds";"Exotic";"TIER1"
50;"Branta_canadensis";9;"birds";"Exotic";"TIER1"
