"cell_id";"species";"observations"
20;"Turdus_philomelos";21
20;"Zosterops_lateralis";14
21;"Acridotheres_tristis";16
21;"Anas_chlorotis";1
21;"Anthus_novaeseelandiae";4
21;"Branta_canadensis";2
21;"Carduelis_carduelis";7
21;"Chloris_chloris";2
21;"Chroicocephalus_novaehollandiae";30
21;"Fringilla_coelebs";8
21;"Gallirallus_australis";1
21;"Gerygone_igata";10
21;"Hemiphaga_novaeseelandiae";2
21;"Meleagris_gallopavo";4
21;"Nestor_meridionalis";2
21;"Passer_domesticus";16
21;"Phasianus_colchicus";11
21;"Porphyrio_melanotus";12
21;"Prosthemadera_novaeseelandiae";1
21;"Rhipidura_fuliginosa";4
21;"Sturnus_vulgaris";4
21;"Tadorna_variegata";5
21;"Turdus_merula";13
21;"Turdus_philomelos";6
21;"Zosterops_lateralis";10
22;"Chroicocephalus_novaehollandiae";1
23;"Acridotheres_tristis";5
23;"Anthus_novaeseelandiae";7
23;"Carduelis_carduelis";3
23;"Chloris_chloris";3
23;"Chroicocephalus_novaehollandiae";19
23;"Fringilla_coelebs";7
23;"Gerygone_igata";7
23;"Meleagris_gallopavo";2
23;"Passer_domesticus";6
23;"Phasianus_colchicus";6
23;"Platycercus_eximius";1
23;"Porphyrio_melanotus";1
23;"Rhipidura_fuliginosa";6
23;"Sturnus_vulgaris";2
23;"Tadorna_variegata";4
23;"Turdus_merula";4
23;"Turdus_philomelos";5
23;"Zosterops_lateralis";5
24;"Acanthis_flammea";2
24;"Acridotheres_tristis";5
24;"Anthornis_melanura";1
24;"Anthus_novaeseelandiae";2
24;"Branta_canadensis";3
24;"Carduelis_carduelis";4
24;"Chloris_chloris";5
24;"Chroicocephalus_novaehollandiae";4
24;"Fringilla_coelebs";14
24;"Gerygone_igata";15
24;"Hemiphaga_novaeseelandiae";1
24;"Leptospermum_scoparium";1
24;"Leucopogon_fasciculatus";1
24;"Meleagris_gallopavo";3
24;"Passer_domesticus";5
24;"Petroica_macrocephala";1
24;"Phasianus_colchicus";2
24;"Porphyrio_melanotus";4
24;"Prosthemadera_novaeseelandiae";1
24;"Rhipidura_fuliginosa";7
24;"Sturnus_vulgaris";3
24;"Tadorna_variegata";3
