"species";"guild";"status";"n";"trait";"mean.value";"sd.value"
"Branta_canadensis";"birds";"Exotic";10;"Beak.Length_Culmen";50,02;11,6627421970802
"Branta_canadensis";"birds";"Exotic";10;"Beak.Length_Nares";28,2375;8,64621097855669
"Branta_canadensis";"birds";"Exotic";10;"Beak.Width";19,9;2,53464878128005
"Branta_canadensis";"birds";"Exotic";4;"BILL_LENGTH_mm";55,875;3,58550321898243
"Branta_canadensis";"birds";"Exotic";4;"BILL_WIDTH_mm";23,75;1,67032930884901
"Branta_canadensis";"birds";"Exotic";NA;"body.mass";3564;NA
"Branta_canadensis";"birds";"Exotic";10;"Hand-wing.Index";49,3625;3,6939864258394
"Branta_canadensis";"birds";"Exotic";10;"Kipps.Distance";206,5;32,6190128606002
"Branta_canadensis";"birds";"Exotic";10;"Secondary1";210,875;25,6372357547154
"Branta_canadensis";"birds";"Exotic";10;"Tail.Length";121,6;26,7714607578875
"Branta_canadensis";"birds";"Exotic";10;"Tarsus.Length";73,3125;9,81986870729805
"Branta_canadensis";"birds";"Exotic";4;"WING_LENGTH_cm";41,625;4,81966458030708
"Branta_canadensis";"birds";"Exotic";10;"Wing.Length";422,888888888889;47,8263641845281
"Cacatua_galerita";"birds";"Exotic";5;"Beak.Depth";44,28;2,10166600581539
"Cacatua_galerita";"birds";"Exotic";5;"Beak.Length_Culmen";49,32;4,42797922307682
"Cacatua_galerita";"birds";"Exotic";5;"Beak.Length_Nares";40,2;2,33523731841827
"Cacatua_galerita";"birds";"Exotic";5;"Beak.Width";22,4;1,15974135047432
"Cacatua_galerita";"birds";"Exotic";4;"BILL_LENGTH_mm";34,175;1,73277234511635
"Cacatua_galerita";"birds";"Exotic";4;"BILL_WIDTH_mm";21,7;0,725718035235908
"Cacatua_galerita";"birds";"Exotic";NA;"body.mass";789,75;NA
"Cacatua_galerita";"birds";"Exotic";5;"Hand-wing.Index";25,875;3,0510927004381
"Cacatua_galerita";"birds";"Exotic";5;"Kipps.Distance";93,15;14,2701319778994
"Cacatua_galerita";"birds";"Exotic";5;"Secondary1";265,975;14,6906716433706
"Cacatua_galerita";"birds";"Exotic";5;"Tail.Length";198,4;27,4827218448246
"Cacatua_galerita";"birds";"Exotic";5;"Tarsus.Length";28,46;2,4027068069159
"Cacatua_galerita";"birds";"Exotic";4;"WING_LENGTH_cm";32,5;3
"Cacatua_galerita";"birds";"Exotic";5;"Wing.Length";347,3;32,9727159936818
"Callaeas_cinereus";"birds";"Native";1;"Beak.Depth";NA;NA
"Callaeas_cinereus";"birds";"Native";1;"Beak.Length_Culmen";NA;NA
"Callaeas_cinereus";"birds";"Native";1;"Beak.Length_Nares";NA;NA
"Callaeas_cinereus";"birds";"Native";1;"Beak.Width";NA;NA
"Callaeas_cinereus";"birds";"Native";8;"BILL_LENGTH_mm";25,4;2,26021490760755
"Callaeas_cinereus";"birds";"Native";8;"BILL_WIDTH_mm";16,025;1,68247267012403
"Callaeas_cinereus";"birds";"Native";NA;"body.mass";NA;NA
"Callaeas_cinereus";"birds";"Native";1;"Hand-wing.Index";NA;NA
"Callaeas_cinereus";"birds";"Native";1;"Kipps.Distance";NA;NA
"Callaeas_cinereus";"birds";"Native";1;"Secondary1";NA;NA
"Callaeas_cinereus";"birds";"Native";1;"Tail.Length";NA;NA
"Callaeas_cinereus";"birds";"Native";1;"Tarsus.Length";NA;NA
"Callaeas_cinereus";"birds";"Native";8;"WING_LENGTH_cm";14,6;0,604743156814764
"Callaeas_cinereus";"birds";"Native";1;"Wing.Length";NA;NA
"Carduelis_carduelis";"birds";"Exotic";30;"Beak.Depth";7,16153846153846;0,515652437109955
"Carduelis_carduelis";"birds";"Exotic";30;"Beak.Length_Culmen";15,3588235294118;1,15003196886511
"Carduelis_carduelis";"birds";"Exotic";30;"Beak.Length_Nares";11,25;0,784509111135457
"Carduelis_carduelis";"birds";"Exotic";30;"Beak.Width";5,48461538461538;0,403827838412513
"Carduelis_carduelis";"birds";"Exotic";4;"BILL_LENGTH_mm";11,8;0,697614984548545
"Carduelis_carduelis";"birds";"Exotic";4;"BILL_WIDTH_mm";6,175;0,330403793359984
"Carduelis_carduelis";"birds";"Exotic";NA;"body.mass";15,45;NA
"Carduelis_carduelis";"birds";"Exotic";30;"Hand-wing.Index";33,351724137931;1,87094717984065
