"cell_id";"guild";"record.type";"richness"
190;"plants";"GBIF";1
190;"plants";"NVS";7
191;"birds";"GBIF";15
192;"birds";"GBIF";22
192;"plants";"GBIF";1
193;"birds";"GBIF";23
193;"plants";"NVS";4
194;"birds";"GBIF";24
194;"plants";"NVS";17
195;"birds";"GBIF";21
195;"plants";"NVS";43
196;"birds";"GBIF";28
196;"plants";"NVS";18
197;"birds";"GBIF";28
198;"birds";"GBIF";32
198;"plants";"GBIF";1
198;"plants";"NVS";53
199;"birds";"GBIF";11
199;"birds";"TIER1";9
199;"plants";"GBIF";17
199;"plants";"NVS";8
200;"birds";"GBIF";22
200;"plants";"GBIF";1
200;"plants";"NVS";18
201;"birds";"GBIF";22
202;"birds";"GBIF";21
202;"plants";"NVS";25
203;"birds";"GBIF";23
204;"birds";"GBIF";27
204;"plants";"GBIF";3
204;"plants";"NVS";34
205;"birds";"GBIF";24
205;"birds";"TIER1";11
205;"plants";"GBIF";24
205;"plants";"NVS";31
206;"birds";"GBIF";26
206;"birds";"TIER1";13
206;"plants";"GBIF";44
206;"plants";"NVS";25
207;"birds";"GBIF";20
207;"plants";"GBIF";1
209;"birds";"GBIF";21
209;"plants";"GBIF";1
210;"birds";"GBIF";27
210;"plants";"NVS";7
211;"birds";"GBIF";21
211;"plants";"NVS";22
212;"birds";"GBIF";25
212;"plants";"NVS";14
213;"birds";"GBIF";28
213;"plants";"NVS";21
214;"birds";"GBIF";35
214;"birds";"TIER1";23
214;"plants";"NVS";38
215;"birds";"GBIF";12
216;"birds";"GBIF";24
216;"plants";"GBIF";37
217;"birds";"GBIF";26
217;"plants";"GBIF";2
219;"birds";"GBIF";6
220;"birds";"GBIF";23
221;"birds";"GBIF";20
222;"birds";"GBIF";22
222;"plants";"NVS";24
223;"birds";"GBIF";27
223;"plants";"NVS";41
224;"birds";"GBIF";23
225;"birds";"GBIF";26
225;"birds";"TIER1";12
225;"plants";"GBIF";1
225;"plants";"NVS";24
226;"birds";"GBIF";21
227;"birds";"GBIF";22
228;"birds";"GBIF";21
228;"plants";"GBIF";20
229;"birds";"GBIF";23
229;"plants";"GBIF";1
230;"birds";"GBIF";23
230;"plants";"NVS";20
231;"birds";"GBIF";25
231;"plants";"GBIF";6
231;"plants";"NVS";40
232;"birds";"GBIF";30
232;"plants";"GBIF";3
232;"plants";"NVS";17
233;"birds";"GBIF";17
234;"birds";"GBIF";30
234;"birds";"TIER1";11
234;"plants";"GBIF";1
234;"plants";"NVS";35
235;"birds";"GBIF";24
236;"birds";"GBIF";24
237;"birds";"GBIF";22
238;"birds";"GBIF";29
238;"plants";"GBIF";1
238;"plants";"NVS";7
239;"birds";"GBIF";32
239;"plants";"GBIF";3
239;"plants";"NVS";54
240;"birds";"GBIF";27
240;"plants";"NVS";36
241;"birds";"GBIF";30
241;"plants";"GBIF";13
241;"plants";"NVS";53
242;"birds";"GBIF";28
242;"plants";"GBIF";20
242;"plants";"NVS";39
243;"birds";"GBIF";25
243;"plants";"NVS";28
244;"birds";"GBIF";26
244;"plants";"NVS";34
245;"birds";"GBIF";23
246;"birds";"GBIF";25
246;"birds";"TIER1";12
246;"plants";"GBIF";2
246;"plants";"NVS";42
247;"birds";"GBIF";24
247;"plants";"GBIF";17
248;"birds";"GBIF";29
248;"plants";"NVS";14
249;"birds";"GBIF";23
250;"birds";"GBIF";19
250;"plants";"GBIF";1
251;"birds";"GBIF";28
251;"plants";"GBIF";4
251;"plants";"NVS";51
252;"birds";"GBIF";29
252;"plants";"GBIF";4
252;"plants";"NVS";52
253;"birds";"GBIF";27
253;"plants";"GBIF";3
253;"plants";"NVS";31
254;"birds";"GBIF";23
254;"plants";"NVS";20
255;"birds";"GBIF";24
255;"plants";"GBIF";8
255;"plants";"NVS";16
256;"birds";"GBIF";23
256;"plants";"NVS";40
