"cell_id";"ecoregion"
686;"King Country"
687;"Western Volcanic Plateau"
688;"Western Volcanic Plateau"
689;"Western Volcanic Plateau"
690;"Central Volcanic Plateau"
691;"Central Volcanic Plateau"
692;"Central Volcanic Plateau"
693;"Central Volcanic Plateau"
694;"Central Volcanic Plateau"
695;"Central Volcanic Plateau"
696;"Eastern Volcanic Plateau"
697;"Eastern Volcanic Plateau"
698;"Eastern Volcanic Plateau"
699;"Eastern Volcanic Plateau"
700;"Urewera"
701;"Urewera"
702;"Urewera"
703;"Urewera"
704;"Urewera"
705;"Wairoa"
706;"Wairoa"
707;"Wairoa"
708;"East Cape"
709;"East Cape"
710;"East Cape"
711;"East Cape"
712;"East Cape"
713;"East Cape"
714;"King Country"
715;"Taranaki"
716;"Taranaki"
717;"Taranaki"
718;"Taranaki"
719;"King Country"
720;"King Country"
721;"King Country"
722;"Western Volcanic Plateau"
723;"Central Volcanic Plateau"
724;"Central Volcanic Plateau"
725;"Central Volcanic Plateau"
726;"Central Volcanic Plateau"
727;"Central Volcanic Plateau"
728;"Central Volcanic Plateau"
729;"Eastern Volcanic Plateau"
730;"Eastern Volcanic Plateau"
731;"Eastern Volcanic Plateau"
732;"Eastern Volcanic Plateau"
733;"Eastern Volcanic Plateau"
734;"Urewera"
735;"Urewera"
736;"Urewera"
737;"Urewera"
738;"Urewera"
739;"Wairoa"
740;"Wairoa"
741;"Wairoa"
742;"East Cape"
743;"East Cape"
744;"East Cape"
745;"East Cape"
746;"East Cape"
747;"Egmont"
748;"Taranaki"
749;"Taranaki"
750;"Taranaki"
751;"King Country"
752;"King Country"
753;"King Country"
754;"King Country"
755;"King Country"
756;"Central Volcanic Plateau"
757;"Central Volcanic Plateau"
758;"Central Volcanic Plateau"
759;"Central Volcanic Plateau"
760;"Central Volcanic Plateau"
761;"Central Volcanic Plateau"
762;"Eastern Volcanic Plateau"
763;"Eastern Volcanic Plateau"
764;"Eastern Volcanic Plateau"
765;"Eastern Volcanic Plateau"
766;"Urewera"
767;"Urewera"
768;"Urewera"
769;"Urewera"
770;"Urewera"
771;"Wairoa"
772;"Wairoa"
773;"Wairoa"
774;"Wairoa"
775;"East Cape"
776;"East Cape"
777;"East Cape"
778;"East Cape"
779;"Egmont"
780;"Egmont"
781;"Egmont"
782;"Taranaki"
783;"Taranaki"
784;"Taranaki"
785;"Taranaki"
786;"King Country"
787;"King Country"
788;"King Country"
789;"King Country"
790;"King Country"
791;"Central Volcanic Plateau"
792;"Tongariro"
793;"Central Volcanic Plateau"
794;"Central Volcanic Plateau"
795;"Central Volcanic Plateau"
796;"Central Volcanic Plateau"
797;"Eastern Volcanic Plateau"
798;"Eastern Volcanic Plateau"
799;"Kaimanawa"
800;"Kaimanawa"
801;"Urewera"
802;"Urewera"
803;"Urewera"
804;"Wairoa"
805;"Wairoa"
806;"Wairoa"
807;"Wairoa"
808;"Wairoa"
809;"Wairoa"
810;"Wairoa"
811;"East Cape"
812;"Egmont"
813;"Egmont"
814;"Egmont"
815;"Egmont"
816;"Taranaki"
817;"Taranaki"
818;"Taranaki"
819;"Taranaki"
820;"Taranaki"
821;"Taranaki"
822;"King Country"
823;"King Country"
824;"King Country"
825;"King Country"
826;"Tongariro"
827;"Tongariro"
828;"Central Volcanic Plateau"
829;"Central Volcanic Plateau"
830;"Central Volcanic Plateau"
831;"Kaimanawa"
832;"Eastern Volcanic Plateau"
833;"Eastern Volcanic Plateau"
834;"Kaimanawa"
835;"Kaimanawa"
836;"Kaimanawa"
837;"Wairoa"
838;"Wairoa"
839;"Wairoa"
840;"Wairoa"
841;"Wairoa"
842;"Wairoa"
843;"Wairoa"
844;"Wairoa"
845;"Wairoa"
846;"Wairoa"
847;"Egmont"
848;"Egmont"
849;"Egmont"
850;"Egmont"
851;"Egmont"
852;"Taranaki"
853;"Taranaki"
854;"Taranaki"
855;"Taranaki"
856;"Taranaki"
857;"Taranaki"
858;"King Country"
859;"King Country"
860;"King Country"
861;"Tongariro"
862;"Tongariro"
863;"Tongariro"
864;"Central Volcanic Plateau"
865;"Kaimanawa"
866;"Kaimanawa"
867;"Kaimanawa"
868;"Kaimanawa"
869;"Kaimanawa"
870;"Kaimanawa"
871;"Kaimanawa"
872;"Hawkes Bay"
873;"Hawkes Bay"
874;"Hawkes Bay"
875;"Wairoa"
876;"Wairoa"
877;"Wairoa"
878;"Wairoa"
879;"Wairoa"
880;"Wairoa"
881;"Wairoa"
882;"East Cape"
883;"Egmont"
884;"Egmont"
885;"Egmont"
886;"Egmont"
887;"Egmont"
888;"Egmont"
889;"Taranaki"
890;"Taranaki"
891;"Taranaki"
892;"Taranaki"
893;"Taranaki"
894;"Taranaki"
895;"Taranaki"
896;"King Country"
897;"King Country"
898;"Tongariro"
899;"Tongariro"
900;"Tongariro"
901;"Kaimanawa"
902;"Kaimanawa"
903;"Kaimanawa"
904;"Kaimanawa"
905;"Kaimanawa"
906;"Kaimanawa"
907;"Kaimanawa"
908;"Hawkes Bay"
909;"Hawkes Bay"
910;"Hawkes Bay"
911;"Wairoa"
912;"Wairoa"
913;"Hawkes Bay"
914;"Hawkes Bay"
915;"East Cape"
916;"Wairoa"
917;"East Cape"
918;"Egmont"
919;"Egmont"
920;"Egmont"
921;"Egmont"
922;"Egmont"
923;"Egmont"
924;"Taranaki"
925;"Taranaki"
926;"Taranaki"
927;"Taranaki"
928;"Taranaki"
929;"Taranaki"
930;"Taranaki"
931;"Taranaki"
932;"Tongariro"
933;"Tongariro"
934;"Tongariro"
935;"Tongariro"
936;"Kaimanawa"
937;"Kaimanawa"
938;"Kaimanawa"
939;"Kaimanawa"
940;"Kaimanawa"
941;"Kaimanawa"
942;"Hawkes Bay"
943;"Hawkes Bay"
944;"Hawkes Bay"
945;"Wairoa"
946;"Wairoa"
947;"Hawkes Bay"
948;"East Cape"
949;"East Cape"
950;"Egmont"
951;"Egmont"
952;"Egmont"
953;"Egmont"
954;"Egmont"
955;"Egmont"
956;"Taranaki"
957;"Taranaki"
958;"Taranaki"
959;"Taranaki"
960;"Taranaki"
961;"Taranaki"
962;"Taranaki"
963;"Taranaki"
964;"Tongariro"
965;"Tongariro"
966;"Tongariro"
967;"Tongariro"
968;"Moawhango"
969;"Moawhango"
970;"Moawhango"
971;"Moawhango"
972;"Kaimanawa"
973;"Hawkes Bay"
974;"Hawkes Bay"
975;"Hawkes Bay"
976;"Hawkes Bay"
977;"Wairoa"
978;"Hawkes Bay"
979;"East Cape"
980;"East Cape"
981;"Egmont"
982;"Egmont"
983;"Egmont"
984;"Egmont"
985;"Egmont"
986;"Taranaki"
987;"Taranaki"
988;"Taranaki"
989;"Taranaki"
990;"Taranaki"
991;"Taranaki"
992;"Taranaki"
993;"Rangitikei"
994;"Rangitikei"
995;"Tongariro"
996;"Tongariro"
997;"Moawhango"
998;"Moawhango"
999;"Moawhango"
1000;"Moawhango"
1001;"Moawhango"
1002;"Ruahine"
1003;"Hawkes Bay"
1004;"Hawkes Bay"
1005;"Hawkes Bay"
1006;"Hawkes Bay"
1007;"Eastern Hawkes Bay"
1008;"Egmont"
1009;"Egmont"
1010;"Egmont"
1011;"Egmont"
1012;"Taranaki"
1013;"Taranaki"
1014;"Taranaki"
1015;"Taranaki"
1016;"Taranaki"
1017;"Taranaki"
1018;"Taranaki"
1019;"Rangitikei"
1020;"Rangitikei"
1021;"Rangitikei"
1022;"Rangitikei"
1023;"Moawhango"
1024;"Rangitikei"
1025;"Moawhango"
1026;"Moawhango"
1027;"Ruahine"
1028;"Ruahine"
1029;"Hawkes Bay"
1030;"Hawkes Bay"
1031;"Hawkes Bay"
1032;"Hawkes Bay"
1033;"Hawkes Bay"
1034;"Egmont"
1035;"Egmont"
1036;"Manawatu"
1037;"Taranaki"
1038;"Taranaki"
1039;"Taranaki"
1040;"Taranaki"
1041;"Taranaki"
1042;"Taranaki"
1043;"Rangitikei"
1044;"Rangitikei"
1045;"Rangitikei"
1046;"Rangitikei"
1047;"Rangitikei"
1048;"Rangitikei"
1049;"Rangitikei"
1050;"Moawhango"
1051;"Ruahine"
1052;"Ruahine"
1053;"Hawkes Bay"
1054;"Hawkes Bay"
1055;"Hawkes Bay"
1056;"Hawkes Bay"
1057;"Hawkes Bay"
1058;"Eastern Hawkes Bay"
1059;"Eastern Hawkes Bay"
1060;"Egmont"
1061;"Manawatu"
1062;"Manawatu"
1063;"Manawatu"
1064;"Taranaki"
1065;"Taranaki"
1066;"Taranaki"
1067;"Taranaki"
1068;"Rangitikei"
1069;"Rangitikei"
1070;"Rangitikei"
1071;"Rangitikei"
1072;"Rangitikei"
1073;"Rangitikei"
1074;"Rangitikei"
1075;"Ruahine"
1076;"Ruahine"
1077;"Ruahine"
1078;"Hawkes Bay"
1079;"Hawkes Bay"
1080;"Hawkes Bay"
1081;"Hawkes Bay"
1082;"Eastern Hawkes Bay"
1083;"Eastern Hawkes Bay"
1084;"Eastern Hawkes Bay"
1085;"Egmont"
1086;"Manawatu"
1087;"Manawatu"
1088;"Manawatu"
1089;"Taranaki"
