"species";"guild";"status"
"Podocarpus_totara";"plants";"native"
"Porphyrio_melanotus";"birds";"native"
"Prosthemadera_novaeseelandiae";"birds";"native"
"Prumnopitys_ferruginea";"plants";"native"
"Prumnopitys_taxifolia";"plants";"native"
"Prunus_avium";"plants";"exotic"
"Prunus_cerasifera";"plants";"exotic"
"Prunus_domestica";"plants";"exotic"
"Prunus_laurocerasus";"plants";"exotic"
"Prunus_persica";"plants";"exotic"
"Pseudopanax_arboreus";"plants";"native"
"Pseudopanax_crassifolius";"plants";"native"
"Pseudopanax_lessonii";"plants";"native"
"Pseudowintera_axillaris";"plants";"native"
"Pseudowintera_colorata";"plants";"native"
"Psidium_cattleianum";"plants";"exotic"
"Pyrus_communis";"plants";"exotic"
"Raukaua_edgerleyi";"plants";"native"
"Raukaua_simplex";"plants";"native"
"Rhamnus_alaternus";"plants";"exotic"
"Rhaphiolepis_loquata";"plants";"exotic"
"Rhipidura_fuliginosa";"birds";"native"
"Rhopalostylis_sapida";"plants";"native"
"Ribes_sanguineum";"plants";"exotic"
"Ripogonum_scandens";"plants";"native"
"Rosa_rubiginosa";"plants";"exotic"
"Rubus_australis";"plants";"native"
"Rubus_cissoides";"plants";"native"
"Rubus_fruticosus";"plants";"exotic"
"Rubus_squarrosus";"plants";"native"
"Sambucus_nigra";"plants";"exotic"
"Schefflera_digitata";"plants";"native"
"Solanum_americanum";"plants";"native"
"Solanum_aviculare";"plants";"native"
"Solanum_laciniatum";"plants";"native"
"Solanum_mauritianum";"plants";"exotic"
"Solanum_nigrum";"plants";"exotic"
"Solanum_pseudocapsicum";"plants";"exotic"
"Sorbus_aucuparia";"plants";"exotic"
"Strigops_habroptila";"birds";"native"
"Sturnus_vulgaris";"birds";"exotic"
"Styphelia_nesophila";"plants";"native"
"Syzygium_australe";"plants";"exotic"
"Syzygium_smithii";"plants";"exotic"
"Tadorna_variegata";"birds";"native"
"Taxus_baccata";"plants";"exotic"
"Toronia_toru";"plants";"native"
"Trachycarpus_fortunei";"plants";"exotic"
"Tropaeolum_speciosum";"plants";"exotic"
"Tupeia_antarctica";"plants";"native"
"Turdus_merula";"birds";"exotic"
"Turdus_philomelos";"birds";"exotic"
"Vitex_lucens";"plants";"native"
"Vitis_vinifera";"plants";"exotic"
"Weinmannia_racemosa";"plants";"native"
"Zosterops_lateralis";"birds";"native"
