"";"source.guild";"recipient.guild";"source.cell";"recipient.cell";"avg.communicability";"scaled.avg.communicability"
"253";"birds";"birds";"103";"163";0,00208218414659211;2,12192363370373e-08
"254";"birds";"birds";"103";"17";12,3908700780862;0,000133224349960532
"255";"birds";"birds";"103";"18";15,9117527343852;0,000171080562912646
"256";"birds";"birds";"103";"2";1,18660351962649;1,27570858639924e-05
"257";"birds";"birds";"103";"28";2,40309442275735;2,583668640133e-05
"258";"birds";"birds";"103";"29";26,9999837694859;0,00029030022352134
"259";"birds";"birds";"103";"3";1,96861581578259;2,11652115825516e-05
"260";"birds";"birds";"103";"30";53,5914871666077;0,000576209671118905
"261";"birds";"birds";"103";"31";135,487825727809;0,00145675172128485
"262";"birds";"birds";"103";"32";94,5490328435672;0,00101658151037035
"263";"birds";"birds";"103";"33";102,832105697255;0,0011056403630663
"264";"birds";"birds";"103";"4";3,61506696715913;3,88677059528922e-05
"265";"birds";"birds";"103";"43";50,8683814427282;0,000546931083833448
"266";"birds";"birds";"103";"44";210,449236925676;0,0022627300575468
"267";"birds";"birds";"103";"45";379,498153237781;0,00408032876785486
"268";"birds";"birds";"103";"46";752,851078017816;0,00809458576147595
"269";"birds";"birds";"103";"5";2,90710455086447;3,12557578678301e-05
"270";"birds";"birds";"103";"57";161,233848547729;0,00173357063792701
"271";"birds";"birds";"103";"58";782,130210665152;0,00840939235651193
"272";"birds";"birds";"103";"59";771,093796946709;0,00829072983102119
"273";"birds";"birds";"103";"60";461,000339440276;0,00495663292738844
"274";"birds";"birds";"103";"71";1222,65766395567;0,0131459038256411
"275";"birds";"birds";"103";"72";2368,0284135511;0,0254608268828566
"276";"birds";"birds";"103";"73";765,820117556062;0,00823402770557648
"277";"birds";"birds";"103";"74";1686,77175323406;0,0181360166788389
"278";"birds";"birds";"103";"75";623,474086020738;0,0067035360054203
"279";"birds";"birds";"103";"84";5771,83586839655;0,062058257821969
"280";"birds";"birds";"103";"85";5594,48266063565;0,0601513721185429
"281";"birds";"birds";"103";"86";6899,05271268228;0,0741779917256671
"282";"birds";"birds";"103";"87";60044,1724360147;0,645589528549459
"283";"birds";"birds";"103";"88";93006,7322070995;1
"284";"birds";"birds";"103";"89";10654,6956302354;0,114558325845758
"285";"birds";"birds";"103";"99";41635,6298752132;0,447662538261099
"286";"birds";"birds";"113";"1";0,318707518646686;1,67302055598803e-06
"287";"birds";"birds";"113";"100";118413,965993814;0,62221878023928
"288";"birds";"birds";"113";"101";170461,716944104;0,895709224758994
"289";"birds";"birds";"113";"102";98439,1192073989;0,517258822756244
"290";"birds";"birds";"113";"103";22688,6539893021;0,119219944479657
"291";"birds";"birds";"113";"113";190309,212185442;1
"292";"birds";"birds";"113";"114";180920,798184568;0,950667579836704
"293";"birds";"birds";"113";"115";120162,289786167;0,631405533603348
"294";"birds";"birds";"113";"116";75559,050238;0,397033066237791
"295";"birds";"birds";"113";"117";636,633795546487;0,00334525834560772
"296";"birds";"birds";"113";"125";12,3842652651874;6,50727773414703e-05
"297";"birds";"birds";"113";"126";60904,0627599122;0,320026875448853
"298";"birds";"birds";"113";"127";41668,7372233996;0,218952811048133
"299";"birds";"birds";"113";"129";3448,8563421486;0,0181223808978032
"300";"birds";"birds";"113";"130";3307,99436994992;0,0173822066791451
"301";"birds";"birds";"113";"138";5321,75243430983;0,0279637126639659
"302";"birds";"birds";"113";"139";7908,61454647757;0,0415566548382334
"303";"birds";"birds";"113";"14";0,306710073568894;1,60997870446673e-06
"304";"birds";"birds";"113";"140";2,02300301113525;1,06284225344293e-05
"305";"birds";"birds";"113";"15";4,29480511446394;2,25658483742817e-05
"306";"birds";"birds";"113";"150";0,000316295195721391;0
"307";"birds";"birds";"113";"151";0,15329763061827;8,03856702048327e-07
"308";"birds";"birds";"113";"152";0,115265828932873;6,04014554041602e-07
"309";"birds";"birds";"113";"16";11,3976672815239;5,98885932761087e-05
"310";"birds";"birds";"113";"163";0,00614663524091236;3,06361420339431e-08
"311";"birds";"birds";"113";"17";17,1876263971509;9,03125494196929e-05
"312";"birds";"birds";"113";"18";21,8299182875109;0,0001147059660324
"313";"birds";"birds";"113";"2";1,53016412666227;8,03874818481434e-06
"314";"birds";"birds";"113";"28";3,21833851575488;1,6909440110402e-05
"315";"birds";"birds";"113";"29";37,3944389322754;0,000196491395607225
"316";"birds";"birds";"113";"3";2,57536661089659;1,35308758331227e-05
"317";"birds";"birds";"113";"30";76,5247073439509;0,000402105553888647
"318";"birds";"birds";"113";"31";193,161515587158;0,00101498607132468
"319";"birds";"birds";"113";"32";136,867460814351;0,000719182971622323
"320";"birds";"birds";"113";"33";145,558275175103;0,000764849780261769
"321";"birds";"birds";"113";"4";4,72448463821411;2,48236451437077e-05
"322";"birds";"birds";"113";"43";72,3296695345084;0,000380062281425688
"323";"birds";"birds";"113";"44";304,210937994512;0,00159850707546667
"324";"birds";"birds";"113";"45";570,672381191651;0,00299865707650998
"325";"birds";"birds";"113";"46";1127,55459450783;0,00592485391084441
"326";"birds";"birds";"113";"5";3,80090743592501;1,99706104786063e-05
"327";"birds";"birds";"113";"57";233,49982582846;0,0012269480139186
"328";"birds";"birds";"113";"58";1188,26366849028;0,00624385619868002
"329";"birds";"birds";"113";"59";1168,41719335528;0,00613957078369629
"330";"birds";"birds";"113";"60";719,033042314445;0,00377823395387525
"331";"birds";"birds";"113";"71";2094,22522667099;0,0110043275877562
"332";"birds";"birds";"113";"72";3794,47620583173;0,0199384772406369
"333";"birds";"birds";"113";"73";1189,09113088203;0,00624820418784787
"334";"birds";"birds";"113";"74";2855,54912920487;0,0150047850278162
"335";"birds";"birds";"113";"75";928,187048483853;0,00487725593034803
"336";"birds";"birds";"113";"84";9820,42919365353;0,05160248829211
"337";"birds";"birds";"113";"85";10622,4519654255;0,0558168022703707
"338";"birds";"birds";"113";"86";15366,4223854499;0,0807444995343704
"339";"birds";"birds";"113";"87";94740,0061650686;0,497821439741524
"340";"birds";"birds";"113";"88";185231,86244526;0,973320525631345
"341";"birds";"birds";"113";"89";35169,3525735741;0,184801102962166
"342";"birds";"birds";"113";"99";66431,3650992119;0,349070673618225
"343";"birds";"birds";"114";"1";0,0470514442723408;1,29487372529567e-07
"344";"birds";"birds";"114";"100";68411,9913580861;0,189540890974334
"345";"birds";"birds";"114";"101";102621,710767731;0,284321653791068
"346";"birds";"birds";"114";"102";159024,333030071;0,440589628365024
"347";"birds";"birds";"114";"103";4804,23969615936;0,0133105293223462
"348";"birds";"birds";"114";"113";55733,2217495725;0,154413346059898
"349";"birds";"birds";"114";"114";360935,261785533;1
"350";"birds";"birds";"114";"115";122118,937236887;0,3383402785985
"351";"birds";"birds";"114";"116";80655,2256054168;0,223461750347965
"352";"birds";"birds";"114";"117";634,765063992792;0,00175866648916707
"353";"birds";"birds";"114";"125";12,4155396655365;3,43973728954575e-05
"354";"birds";"birds";"114";"126";61349,8181687407;0,169974575506651
"355";"birds";"birds";"114";"127";42072,1197045225;0,116564170588964
"356";"birds";"birds";"114";"129";3463,46296061897;0,00959580017652287
"357";"birds";"birds";"114";"130";3323,58639749125;0,0092082609747342
"358";"birds";"birds";"114";"138";5324,01476298427;0,0147506077029042
"359";"birds";"birds";"114";"139";7892,05650872124;0,0218655726838079
"360";"birds";"birds";"114";"14";0,0454681498831994;1,25100728834267e-07
"361";"birds";"birds";"114";"140";2,02971569204394;5,62261719224611e-06
"362";"birds";"birds";"114";"15";0,695072381810839;1,9248811916264e-06
"363";"birds";"birds";"114";"150";0,000314885611234612;0
"364";"birds";"birds";"114";"151";0,152823326270288;4,22536828454087e-07
"365";"birds";"birds";"114";"152";0,115331299816418;3,18662171538861e-07
"366";"birds";"birds";"114";"16";1,98549601354463;5,50010303743859e-06
"367";"birds";"birds";"114";"163";0,00613567229586373;1,61269549029709e-08
"368";"birds";"birds";"114";"17";3,27111437606631;9,06201150069975e-06
"369";"birds";"birds";"114";"18";4,01459168383991;1,11218748256192e-05
"370";"birds";"birds";"114";"2";0,228021355808958;6,30878981648741e-07
"371";"birds";"birds";"114";"28";0,540865070676051;1,49763750668838e-06
"372";"birds";"birds";"114";"29";7,02153652336617;1,94528559197754e-05
"373";"birds";"birds";"114";"3";0,405004515866659;1,1212249770402e-06
"374";"birds";"birds";"114";"30";15,9500931853078;4,41901360224781e-05
"375";"birds";"birds";"114";"31";40,3559133534312;0,000111808412132939
"376";"birds";"birds";"114";"32";30,0106579520616;8,31460549023997e-05
"377";"birds";"birds";"114";"33";29,8718069979559;8,27613572324076e-05
"378";"birds";"birds";"114";"4";0,741700069859901;2,05406692942069e-06
"379";"birds";"birds";"114";"43";14,9137081777924;4,1318748496381e-05
"380";"birds";"birds";"114";"44";65,4929432350845;0,000181452563217627
"381";"birds";"birds";"114";"45";140,524064531824;0,000389332283783086
"382";"birds";"birds";"114";"46";277,999841493503;0,000770219915547099
"383";"birds";"birds";"114";"5";0,598767118108139;1,65805975857965e-06
"384";"birds";"birds";"114";"57";50,6310959918971;0,000140276627171279
"385";"birds";"birds";"114";"58";281,262695820429;0,000779259914336995
"386";"birds";"birds";"114";"59";290,764773905056;0,000805586181396388
"387";"birds";"birds";"114";"60";190,575394662399;0,000528003495696932
"388";"birds";"birds";"114";"71";749,210310741489;0,00207574619560081
"389";"birds";"birds";"114";"72";1190,70184095254;0,0032989337789147
"390";"birds";"birds";"114";"73";306,820812859539;0,000850070721058879
"391";"birds";"birds";"114";"74";857,702300939833;0,00237633192877713
"392";"birds";"birds";"114";"75";300,651041057487;0,000832976874985451
"393";"birds";"birds";"114";"84";5716,99103306149;0,0158393798790446
"394";"birds";"birds";"114";"85";5026,93608406819;0,0139275274704392
"395";"birds";"birds";"114";"86";13622,7006686059;0,0377427805147494
