"species";"guild";"communicability";"scaled.communicability"
"Leptospermum_scoparium";"plants";0;0
"Leucopogon_fasciculatus";"plants";118907,698725471;0,209180668970227
"Leycesteria_formosa";"plants";2032,40226424144;0,00357537207268784
"Ligustrum_lucidum";"plants";144352,771325003;0,253943265214349
"Ligustrum_ovalifolium";"plants";0;0
"Ligustrum_sinense";"plants";82704,9459363694;0,145493320479259
"Litsea_calicaris";"plants";16625,6447449319;0,0292475889036882
"Lonicera_japonica";"plants";46558,1583760073;0,0819044251928557
"Lophomyrtus_bullata";"plants";13678,3313937671;0,0240627187475099
"Lophomyrtus_obcordata";"plants";0;0
"Luzuriaga_parviflora";"plants";0;0
"Lycium_ferocissimum";"plants";0;0
"Macropiper_excelsum";"plants";221109,199549422;0,388972041112354
"Malus_domestica";"plants";0;0
"Meleagris_gallopavo";"birds";6580,09971285681;0,0115756143174886
"Melicytus_alpinus";"plants";0;0
"Melicytus_chathamicus";"plants";0;0
"Melicytus_lanceolatus";"plants";0;0
"Melicytus_obovatus";"plants";0;0
"Melicytus_ramiflorus";"plants";286292,239013958;0,503641082283391
"Meryta_sinclairii";"plants";0;0
"Metrosideros_umbellata";"plants";0;0
"Mida_salicifolia";"plants";2544,58943432951;0,00447640418436253
"Mohoua_albicilla";"birds";5629,52991710653;0,00990338595961742
"Mohoua_ochrocephala";"birds";0;0
"Muehlenbeckia_astonii";"plants";0;0
"Muehlenbeckia_australis";"plants";102423,601107985;0,180182087684441
"Muehlenbeckia_axillaris";"plants";0;0
"Muehlenbeckia_complexa";"plants";0;0
"Myoporum_laetum";"plants";22849,2051153701;0,0401959844711654
"Myrsine_australis";"plants";228953,796988241;0,402772141170155
"Myrsine_chathamica";"plants";0;0
"Myrsine_divaricata";"plants";772,129072576699;0,00135831807077397
"Myrsine_salicina";"plants";319,474387201099;0,000562014627731281
"Neomyrtus_pedunculata";"plants";270,536605273807;0,000475924003901244
"Neopanax_colensoi";"plants";0;0
"Nestegis_cunninghamii";"plants";56,1885685809721;9,88461007170218e-05
"Nestegis_lanceolata";"plants";21565,7665396532;0,0379381782674603
"Nestor_meridionalis";"birds";65538,410138308;0,115294204016411
"Nestor_notabilis";"birds";0;0
"Notiomystis_cincta";"birds";0;0
"Paratrophis_microphylla";"plants";68200,5010394281;0,119977315047274
"Parsonsia_heterophylla";"plants";0;0
"Passer_domesticus";"birds";105544,175971384;0,185671756936258
"Passiflora_tarminiana";"plants";18402,9570392248;0,0323742104654051
"Passiflora_tetrandra";"plants";0;0
"Pennantia_corymbosa";"plants";0;0
"Pentachondra_pumila";"plants";0;0
"Peraxilla_colensoi";"plants";0;0
"Peraxilla_tetrapetala";"plants";0;0
"Petroica_australis";"birds";128586,114190537;0,226206794639587
"Petroica_macrocephala";"birds";36179,2044773016;0,0636459226483326
"Phasianus_colchicus";"birds";7128,67173967158;0,0125406541322141
"Philesturnus_carunculatus";"birds";9871,79738091699;0,01736632028214
"Phoenix_canariensis";"plants";35473,5552690507;0,0624045549738893
"Phormium_colensoi";"plants";0;0
"Phormium_tenax";"plants";0;0
"Phyllocladus_trichomanoides";"plants";0;0
"Phytolacca_icosandra";"plants";69100,7109104258;0,121560950968642
"Pisonia_brunoniana";"plants";0;0
"Pittosporum_crassifolium";"plants";77814,4060134007;0,136889954812633
"Pittosporum_eugenioides";"plants";12062,037716173;0,0212193587602641
"Pittosporum_tenuifolium";"plants";32237,7645042756;0,0567121996085227
"Plagianthus_regius";"plants";0;0
"Planchonella_costata";"plants";0;0
"Platycercus_eximius";"birds";46221,1631360042;0,0813115881394165
"Podocarpus_cunninghamii";"plants";0;0
"Podocarpus_nivalis";"plants";0;0
"Podocarpus_totara";"plants";236868,427172447;0,416695441800221
"Porphyrio_melanotus";"birds";0;0
"Prosthemadera_novaeseelandiae";"birds";385848,816736872;0,67877954473523
"Prumnopitys_ferruginea";"plants";131260,901425438;0,230912240873489
"Prumnopitys_taxifolia";"plants";20875,3106642534;0,0367235384799726
"Prunus_avium";"plants";0;0
"Prunus_cerasifera";"plants";0;0
"Prunus_domestica";"plants";65156,1450864443;0,114621728977957
"Prunus_laurocerasus";"plants";0;0
"Prunus_persica";"plants";30196,7618398925;0,053121697838815
"Pseudopanax_arboreus";"plants";241414,419501941;0,424692684424626
"Pseudopanax_crassifolius";"plants";152170,763122309;0,267696561020198
"Pseudopanax_lessonii";"plants";118210,941629734;0,207954944168903
"Pseudowintera_axillaris";"plants";0;0
"Pseudowintera_colorata";"plants";0;0
"Psidium_cattleianum";"plants";16074,9406258092;0,0282787983436361
"Pyrus_communis";"plants";0;0
"Raukaua_edgerleyi";"plants";0;0
"Raukaua_simplex";"plants";0;0
"Rhamnus_alaternus";"plants";39171,1198912123;0,0689092560951358
"Rhaphiolepis_loquata";"plants";28060,1025739746;0,0493629183872168
"Rhipidura_fuliginosa";"birds";10909,511941715;0,0191918524247562
"Rhopalostylis_sapida";"plants";45183,5445427414;0,0794862248214721
"Ribes_sanguineum";"plants";0;0
"Ripogonum_scandens";"plants";158849,170989069;0,279445117591378
"Rosa_rubiginosa";"plants";0;0
"Rubus_australis";"plants";7262,82314371931;0,0127766513026479
"Rubus_cissoides";"plants";8143,15023267608;0,0143253097272444
"Rubus_fruticosus";"plants";42638,7615361757;0,0750094801076882
"Rubus_squarrosus";"plants";0;0
"Sambucus_nigra";"plants";0;0
"Schefflera_digitata";"plants";177242,033016098;0,311801569060292
"Solanum_americanum";"plants";0;0
"Solanum_aviculare";"plants";0;0
"Solanum_laciniatum";"plants";5382,81679417676;0,00946937187431136
"Solanum_mauritianum";"plants";40907,8428615986;0,071964473517181
"Solanum_nigrum";"plants";9245,7868502535;0,0162650517941431
"Solanum_pseudocapsicum";"plants";66309,1563464864;0,116650089372541
"Sorbus_aucuparia";"plants";0;0
"Strigops_habroptila";"birds";0;0
"Sturnus_vulgaris";"birds";329238,950062106;0,579192302628372
"Styphelia_nesophila";"plants";0;0
"Syzygium_australe";"plants";0;0
"Syzygium_smithii";"plants";75025,3616790902;0,131983509175454
"Taxus_baccata";"plants";0;0
"Toronia_toru";"plants";22736,1577675587;0,0399971132450465
"Trachycarpus_fortunei";"plants";0;0
"Tropaeolum_speciosum";"plants";0;0
"Tupeia_antarctica";"plants";0;0
"Turdus_merula";"birds";482316,119798602;0,848483400789118
"Turdus_philomelos";"birds";348690,223622331;0,613410696048337
"Vitex_lucens";"plants";38266,6245857408;0,0673180813006779
"Vitis_vinifera";"plants";72809,4953683934;0,128085389859477
"Weinmannia_racemosa";"plants";2,73659774401718;4,81418236944909e-06
"Zosterops_lateralis";"birds";517889,354973034;0,911063311181655
