"species";"guild";"cell";"aggregated.communicability";"scaled.aggregated.communicability"
"Lophomyrtus_obcordata";"plants";"46";39529185,7159575;1
"Luzuriaga_parviflora";"plants";"45";2,71828182845905;1
"Luzuriaga_parviflora";"plants";"46";0,999999999999998;0
"Lycium_ferocissimum";"plants";"45";0,999999999999998;0
"Lycium_ferocissimum";"plants";"46";829461,738933771;1
"Macropiper_excelsum";"plants";"45";0,999999999999998;0
"Macropiper_excelsum";"plants";"46";55234002,193115;1
"Malus_domestica";"plants";"45";17437614,6570946;0
"Malus_domestica";"plants";"46";30255145,1456956;1
"Meleagris_gallopavo";"birds";"45";69429,5879041277;0
"Meleagris_gallopavo";"birds";"46";1174411,19693141;1
"Melicytus_alpinus";"plants";"45";6145796,44288433;0
"Melicytus_alpinus";"plants";"46";10130105,5158062;1
"Melicytus_chathamicus";"plants";"45";0,999999999999998;0
"Melicytus_chathamicus";"plants";"46";2,71828182845905;1
"Melicytus_lanceolatus";"plants";"45";5381418,0582134;0
"Melicytus_lanceolatus";"plants";"46";9746800,89948665;1
"Melicytus_obovatus";"plants";"45";0,999999999999998;0
"Melicytus_obovatus";"plants";"46";10130105,5158062;1
"Melicytus_ramiflorus";"plants";"45";35909760,5775501;0
"Melicytus_ramiflorus";"plants";"46";61699827,3971736;1
"Meryta_sinclairii";"plants";"45";0,999999999999998;0
"Meryta_sinclairii";"plants";"46";2,71828182845905;1
"Metrosideros_umbellata";"plants";"45";2,71828182845905;NA
"Metrosideros_umbellata";"plants";"46";2,71828182845905;NA
"Mohoua_ochrocephala";"birds";"45";3302444,04981901;1
"Mohoua_ochrocephala";"birds";"46";0,999999999999998;0
"Muehlenbeckia_astonii";"plants";"45";0,999999999999998;0
"Muehlenbeckia_astonii";"plants";"46";11517684,6935832;1
"Muehlenbeckia_australis";"plants";"45";32955605,8772804;0
"Muehlenbeckia_australis";"plants";"46";57436931,309142;1
"Muehlenbeckia_axillaris";"plants";"45";163745,684428449;1
"Muehlenbeckia_axillaris";"plants";"46";2,71828182845905;0
"Muehlenbeckia_complexa";"plants";"45";2,71828182845905;NA
"Muehlenbeckia_complexa";"plants";"46";2,71828182845905;NA
"Myoporum_laetum";"plants";"45";0,999999999999998;0
"Myoporum_laetum";"plants";"46";59496898,2811466;1
"Myrsine_australis";"plants";"45";32262851,8244161;0
"Myrsine_australis";"plants";"46";56320583,0236892;1
"Myrsine_divaricata";"plants";"45";12937568,347029;0
"Myrsine_divaricata";"plants";"46";21647787,4911076;1
"Myrsine_salicina";"plants";"45";0,999999999999998;0
"Myrsine_salicina";"plants";"46";17881400,9431318;1
"Neomyrtus_pedunculata";"plants";"45";12937568,347029;0
"Neomyrtus_pedunculata";"plants";"46";21647787,4911076;1
"Neopanax_colensoi";"plants";"45";12937568,347029;0
"Neopanax_colensoi";"plants";"46";21647787,4911076;1
"Nestegis_cunninghamii";"plants";"45";0,999999999999998;0
"Nestegis_cunninghamii";"plants";"46";9746800,89948666;1
"Nestor_meridionalis";"birds";"45";22047730,7189402;1
"Nestor_meridionalis";"birds";"46";0,999999999999998;0
"Nestor_notabilis";"birds";"45";2710586,31330664;1
"Nestor_notabilis";"birds";"46";0,999999999999998;0
"Olea_europaea";"plants";"45";0,999999999999998;0
"Olea_europaea";"plants";"46";2,71828182845905;1
"Paratrophis_microphylla";"plants";"45";28796497,6522701;0
"Paratrophis_microphylla";"plants";"46";50139411,4231809;1
"Parsonsia_heterophylla";"plants";"45";2,71828182845905;NA
"Parsonsia_heterophylla";"plants";"46";2,71828182845905;NA
"Passer_domesticus";"birds";"45";8830778,77811841;0
"Passer_domesticus";"birds";"46";14021228,1406718;1
"Passiflora_edulis";"plants";"45";0,999999999999998;0
"Passiflora_edulis";"plants";"46";2,71828182845905;1
"Passiflora_tarminiana";"plants";"45";0,999999999999998;0
"Passiflora_tarminiana";"plants";"46";10610228,4255052;1
"Passiflora_tetrandra";"plants";"45";0,999999999999998;0
"Passiflora_tetrandra";"plants";"46";31874708,5820114;1
"Passiflora_tripartita";"plants";"45";0,999999999999998;0
"Passiflora_tripartita";"plants";"46";2,71828182845905;1
"Pennantia_corymbosa";"plants";"45";28796497,6522701;0
"Pennantia_corymbosa";"plants";"46";50139411,4231809;1
"Pentachondra_pumila";"plants";"45";165601,372608328;1
"Pentachondra_pumila";"plants";"46";0,999999999999998;0
"Peraxilla_colensoi";"plants";"45";28796497,6522701;1
"Peraxilla_colensoi";"plants";"46";0,999999999999998;0
"Peraxilla_tetrapetala";"plants";"45";23614345,5842819;1
