"PLANTSPECIES";"BIRDSPECIES";"REFERENCE";"PLANTSTATUS";"BIRDSTATUS"
"Beilschmiedia_tarairi";"Hemiphaga_novaeseelandiae";"Pierce & Graham 1993 Report";"Native";"Native"
"Beilschmiedia_tarairi";"Hemiphaga_novaeseelandiae";"Baranyovits 2017. Unpublished PhD Thesis, UoA";"Native";"Native"
"Beilschmiedia_tarairi";"Hemiphaga_novaeseelandiae";"Baranyovits 2017. Unpublished PhD Thesis, UoA";"Native";"Native"
"Beilschmiedia_tawa";"Callaeas_cinereus";"Leathwick et al. 1983, NZJE 6: 55-70.";"Native";"Native"
"Beilschmiedia_tawa";"Hemiphaga_novaeseelandiae";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Beilschmiedia_tawa";"Hemiphaga_novaeseelandiae";"Emeny et al. 2009 NZ J Ecol 33, 114-24.";"Native";"Native"
"Beilschmiedia_tawa";"Hemiphaga_novaeseelandiae";"McEwen 1978 NZ J Ecol 1, 99-108.";"Native";"Native"
"Beilschmiedia_tawa";"Hemiphaga_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Beilschmiedia_tawa";"Hemiphaga_novaeseelandiae";"Pierce & Graham 1993 Report";"Native";"Native"
"Beilschmiedia_tawa";"Hemiphaga_novaeseelandiae";"Baranyovits 2017. Unpublished PhD Thesis, UoA";"Native";"Native"
"Beilschmiedia_tawa";"Nestor_meridionalis";"Moorhouse 1997, NZJE 21: 141-152.";"Native";"Native"
"Berberis_darwinii";"Hemiphaga_novaeseelandiae";"Allen & Lee 1992 NZ J Bot 30, 121-124";"Exotic";"Native"
"Berberis_darwinii";"Turdus_merula";"Allen & Lee 1992 NZ J Bot 30, 121-124";"Exotic";"Exotic"
"Berberis_darwinii";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Exotic";"Exotic"
"Berberis_darwinii";"Turdus_philomelos";"Allen & Lee 1992 NZ J Bot 30, 121-124";"Exotic";"Exotic"
"Berberis_darwinii";"Zosterops_lateralis";"Allen & Lee 1992 NZ J Bot 30, 121-124";"Exotic";"Native"
"Berberis_darwinii";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Exotic";"Native"
"Berberis_glaucocarpa";"Anthornis_melanura";"Wotton & McAlpine. 2015. NZ J Ecol 39, 155-169.";"Exotic";"Native"
"Berberis_glaucocarpa";"Sturnus_vulgaris";"Wotton & McAlpine. 2015. NZ J Ecol 39, 155-169.";"Exotic";"Exotic"
"Berberis_glaucocarpa";"Turdus_merula";"Williams & Karl 1996, NZJE 20: 127-145.";"Exotic";"Exotic"
"Berberis_glaucocarpa";"Turdus_merula";"MacFarlane et al. 2016. NZ J Ecol 40, In press.";"Exotic";"Exotic"
"Berberis_glaucocarpa";"Turdus_merula";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Exotic";"Exotic"
"Berberis_glaucocarpa";"Turdus_merula";"Wotton & McAlpine. 2015. NZ J Ecol 39, 155-169.";"Exotic";"Exotic"
"Berberis_glaucocarpa";"Turdus_philomelos";"MacFarlane et al. 2016. NZ J Ecol 40, In press.";"Exotic";"Exotic"
"Berberis_glaucocarpa";"Zosterops_lateralis";"Williams & Karl 1996, NZJE 20: 127-145.";"Exotic";"Native"
"Berberis_glaucocarpa";"Zosterops_lateralis";"MacFarlane et al. 2016. NZ J Ecol 40, In press.";"Exotic";"Native"
"Berberis_glaucocarpa";"Zosterops_lateralis";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Exotic";"Native"
"Berberis_glaucocarpa";"Zosterops_lateralis";"Wotton & McAlpine. 2015. NZ J Ecol 39, 155-169.";"Exotic";"Native"
"Carpodetus_serratus";"Anthornis_melanura";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Carpodetus_serratus";"Anthornis_melanura";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Carpodetus_serratus";"Anthornis_melanura";"Burrows 1994 NZ Nat Sci 21, 87-108.";"Native";"Native"
"Carpodetus_serratus";"Callaeas_cinereus";"Leathwick et al. 1983, NZJE 6: 55-70.";"Native";"Native"
"Carpodetus_serratus";"Cyanoramphus_auriceps";"Elliot et al. 1996, NZ J. Zool. 23: 249-266.";"Native";"Native"
"Carpodetus_serratus";"Cyanoramphus_malherbi";"Ortiz-Catedral & Bruton 2010, NZ J Zool 36, 385-388.";"Native";"Native"
"Carpodetus_serratus";"Hemiphaga_novaeseelandiae";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Carpodetus_serratus";"Hemiphaga_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Carpodetus_serratus";"Hemiphaga_novaeseelandiae";"Clout et al. 1986, Notornis 33: 37-44.";"Native";"Native"
"Carpodetus_serratus";"Hemiphaga_novaeseelandiae";"Pierce & Graham 1993 Report";"Native";"Native"
"Carpodetus_serratus";"Nestor_meridionalis";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Carpodetus_serratus";"Petroica_australis";"Powlesland 1981, Notornis 28: 89-102.";"Native";"Native"
"Carpodetus_serratus";"Prosthemadera_novaeseelandiae";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Carpodetus_serratus";"Turdus_merula";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Exotic"
"Carpodetus_serratus";"Turdus_merula";"Burrows 1994 NZ Nat Sci 21, 87-108.";"Native";"Exotic"
"Carpodetus_serratus";"Zosterops_lateralis";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
