"landscape.category";"network.category";"dispersal.category";"replicate";"normalised.gce"
"sa05";"dd01";"dk03";3;0,0233631472519746
"sa05";"dd01";"dk03";4;0,0160660833074976
"sa05";"dd01";"dk03";5;0,0353222084953634
"sa05";"dd01";"dk03";6;0,0179576571200282
"sa05";"dd01";"dk03";7;0,0171453208233152
"sa05";"dd01";"dk03";8;0,0307573773954789
"sa05";"dd01";"dk03";9;0,0454907618291259
"sa05";"dd01";"dk04";1;0,0211161786454958
"sa05";"dd01";"dk04";10;0,0261258504148077
"sa05";"dd01";"dk04";2;0,01296762091638
"sa05";"dd01";"dk04";3;0,0212408726113901
"sa05";"dd01";"dk04";4;0,0163904544097553
"sa05";"dd01";"dk04";5;0,0298339207690892
"sa05";"dd01";"dk04";6;0,0112796679485849
"sa05";"dd01";"dk04";7;0,0169069881327869
"sa05";"dd01";"dk04";8;0,0342128140145591
"sa05";"dd01";"dk04";9;0,0449487300127002
"sa05";"dd01";"dk05";1;0,018056261807896
"sa05";"dd01";"dk05";10;0,0215722867718553
"sa05";"dd01";"dk05";2;0,021401666879798
"sa05";"dd01";"dk05";3;0,0254126775382164
"sa05";"dd01";"dk05";4;0,0156546007036686
"sa05";"dd01";"dk05";5;0,0205829716570385
"sa05";"dd01";"dk05";6;0,0148270758671887
"sa05";"dd01";"dk05";7;0,0221219694663232
"sa05";"dd01";"dk05";8;0,0525627694110115
"sa05";"dd01";"dk05";9;0,0384274003466391
"sa01";"dd02";"dk01";1;0,0145314204848899
"sa01";"dd02";"dk01";10;0,0213244016199945
"sa01";"dd02";"dk01";2;0,0108079055507086
"sa01";"dd02";"dk01";3;0,0210597890504428
"sa01";"dd02";"dk01";4;0,0298292141305083
"sa01";"dd02";"dk01";5;0,0256338556567334
"sa01";"dd02";"dk01";6;0,0169900037668184
"sa01";"dd02";"dk01";7;0,0190433313509135
"sa01";"dd02";"dk01";8;0,022615856810519
"sa01";"dd02";"dk01";9;0,0249140055060792
"sa01";"dd02";"dk02";1;0,0250615072176162
"sa01";"dd02";"dk02";10;0,022448165779231
"sa01";"dd02";"dk02";2;0,0234099092325774
"sa01";"dd02";"dk02";3;0,0242846984830735
"sa01";"dd02";"dk02";4;0,0207942065798924
"sa01";"dd02";"dk02";5;0,0305502184266187
"sa01";"dd02";"dk02";6;0,0259369145915548
"sa01";"dd02";"dk02";7;0,0194079866950695
"sa01";"dd02";"dk02";8;0,0220317428562078
"sa01";"dd02";"dk02";9;0,0201742981502389
"sa01";"dd02";"dk03";1;0,01994926917158
"sa01";"dd02";"dk03";10;0,0228296881793928
"sa01";"dd02";"dk03";2;0,01915554915939
"sa01";"dd02";"dk03";3;0,0199367209734643
"sa01";"dd02";"dk03";4;0,0207100694010113
"sa01";"dd02";"dk03";5;0,0243849331433281
"sa01";"dd02";"dk03";6;0,0211473736500517
"sa01";"dd02";"dk03";7;0,0195415591321869
"sa01";"dd02";"dk03";8;0,0251024493347518
"sa01";"dd02";"dk03";9;0,0244815238827106
"sa01";"dd02";"dk04";1;0,0183861067863923
"sa01";"dd02";"dk04";10;0,0177369222298006
"sa01";"dd02";"dk04";2;0,0187142897375217
"sa01";"dd02";"dk04";3;0,0295354380656522
"sa01";"dd02";"dk04";4;0,0228852878928779
"sa01";"dd02";"dk04";5;0,0199110516576237
"sa01";"dd02";"dk04";6;0,0273025259714124
"sa01";"dd02";"dk04";7;0,0227751062690374
"sa01";"dd02";"dk04";8;0,0210417031964948
