"landscape.category";"network.category";"dispersal.category";"replicate";"raw.communicability";"max.communicability"
"sa02";"dd01";"dk01";1;0,00228404358557052;2,68861130302814e+21
"sa02";"dd01";"dk01";10;0,00359782578009767;1,01024421803956e+30
"sa02";"dd01";"dk01";2;0,00433034120199703;1,34561265725306e+30
"sa02";"dd01";"dk01";3;0,0024689170287444;4,80399719983322e+25
"sa02";"dd01";"dk01";4;0,00279178770558103;7523138928976,14
"sa02";"dd01";"dk01";5;0,00189899788443927;3,62454142156763e+37
"sa02";"dd01";"dk01";6;0,00267087405807639;2,57653764964013e+30
"sa02";"dd01";"dk01";7;0,00303515648717204;3,83054059822007e+78
"sa02";"dd01";"dk01";8;0,00414886668484328;2,91240549634478e+49
"sa02";"dd01";"dk01";9;0,00212662181893625;982545000973010
"sa02";"dd01";"dk02";1;0,00261434341001259;3,78524802540966e+20
"sa02";"dd01";"dk02";10;0,00415035914650616;1,8594763381972e+30
"sa02";"dd01";"dk02";2;0,00345448696049075;5807909770088924160
"sa02";"dd01";"dk02";3;0,00233337742168414;2,92427833611273e+23
"sa02";"dd01";"dk02";4;0,00302732645616023;28431926291891804
"sa02";"dd01";"dk02";5;0,00200433709324733;1,82102570109744e+40
"sa02";"dd01";"dk02";6;0,00338781076437928;1,30587633129122e+39
"sa02";"dd01";"dk02";7;0,0036526146024541;7,18176409513719e+77
"sa02";"dd01";"dk02";8;0,00324119023707824;1,64215179199051e+42
"sa02";"dd01";"dk02";9;0,00234848548785174;1,38868928571822e+28
"sa02";"dd01";"dk03";1;0,00297689511081889;7,15979046058189e+51
"sa02";"dd01";"dk03";10;0,00422821878751983;1,08927874230584e+27
"sa02";"dd01";"dk03";2;0,00535145638389886;2,52140983291891e+32
"sa02";"dd01";"dk03";3;0,00369845896399988;5,78020866076492e+37
"sa02";"dd01";"dk03";4;0,00320966389350546;22219898297,2168
"sa02";"dd01";"dk03";5;0,00277834517550757;4,54449404181074e+55
"sa02";"dd01";"dk03";6;0,00342304728697712;5,849391706701e+31
"sa02";"dd01";"dk03";7;0,00444528386983611;8,14155678355613e+82
"sa02";"dd01";"dk03";8;0,00425352947667629;1,80856134678194e+43
"sa02";"dd01";"dk03";9;0,00261415720408978;592665467423076352
"sa02";"dd01";"dk04";1;0,00399144577492855;1,97784742708578e+52
"sa02";"dd01";"dk04";10;0,00466370284749852;1,68010892059156e+27
"sa02";"dd01";"dk04";2;0,00573456078755886;2,7778787065527e+29
"sa02";"dd01";"dk04";3;0,00291520093112473;1,69920469924733e+36
"sa02";"dd01";"dk04";4;0,00382335362180885;8,57758735554459e+26
"sa02";"dd01";"dk04";5;0,00326290996014482;3,97842437180494e+86
"sa02";"dd01";"dk04";6;0,00381987085438502;5,30602820161759e+38
"sa02";"dd01";"dk04";7;0,0052844353993659;1,00128309481409e+83
"sa02";"dd01";"dk04";8;0,0057839527955745;2,73850833921297e+32
"sa02";"dd01";"dk04";9;0,00354081863098546;1,88185626792285e+59
"sa02";"dd01";"dk05";1;0,00481499427811414;3,10518714636558e+54
"sa02";"dd01";"dk05";10;0,00699599319109912;4,58273679554015e+34
"sa02";"dd01";"dk05";2;0,00764248196294291;3,53586890316076e+21
"sa02";"dd01";"dk05";3;0,00429300761747923;3,17052070294224e+40
"sa02";"dd01";"dk05";4;0,00502724821347312;8,08500430247649e+33
"sa02";"dd01";"dk05";5;0,0038544564838966;4,97396644266756e+79
"sa02";"dd01";"dk05";6;0,00529584353254089;4,44667444714571e+26
"sa02";"dd01";"dk05";7;0,00641794141673876;8,80904172286073e+83
"sa02";"dd01";"dk05";8;0,00740500076113941;1,55847803514194e+35
"sa02";"dd01";"dk05";9;0,00469805447788208;3,69147782605569e+39
"sa03";"dd01";"dk01";1;0,00217555734769689;16638043586,2662
"sa03";"dd01";"dk01";10;0,00417336566493795;1,0827945542375e+26
"sa03";"dd01";"dk01";2;0,00326878133652903;209599422954627488
"sa03";"dd01";"dk01";3;0,00248772446102739;3,2688164713952e+38
"sa03";"dd01";"dk01";4;0,00245671353839408;30331961891405948
"sa03";"dd01";"dk01";5;0,00211971896834743;3,28146078993252e+38
"sa03";"dd01";"dk01";6;0,00282258955644723;9,20737954278128e+44
"sa03";"dd01";"dk01";7;0,00333665016371045;1,6273171122657e+79
"sa03";"dd01";"dk01";8;0,00405001609550807;3,25739042839241e+59
"sa03";"dd01";"dk01";9;0,00253880296477996;1,69688819497471e+29
"sa03";"dd01";"dk02";1;0,00229124557420236;5710998764,42582
"sa03";"dd01";"dk02";10;0,00434820877465236;1,50413052041636e+26
"sa03";"dd01";"dk02";2;0,00492075255421629;1,47859418241548e+40
"sa03";"dd01";"dk02";3;0,00300666068037148;2,45011383063738e+27
"sa03";"dd01";"dk02";4;0,00303028383409226;147426879023043
"sa03";"dd01";"dk02";5;0,0027733527889722;9,06179397136495e+62
"sa03";"dd01";"dk02";6;0,00238746028203231;1,44990876741953e+21
"sa03";"dd01";"dk02";7;0,00385882356154466;1,50582058419251e+75
"sa03";"dd01";"dk02";8;0,00540871542827652;2,20712048302814e+65
"sa03";"dd01";"dk02";9;0,00227201286080292;3,03840637542091e+25
"sa03";"dd01";"dk03";1;0,00246555572690102;8,50497417606404e+26
"sa03";"dd01";"dk03";10;0,00491496863154887;4,87753644349069e+33
"sa03";"dd01";"dk03";2;0,00563179056691393;6,59890928577353e+27
"sa03";"dd01";"dk03";3;0,00385970274848489;1,53240756920639e+38
"sa03";"dd01";"dk03";4;0,00349905673059565;5,34863038579263e+30
"sa03";"dd01";"dk03";5;0,00252580381969032;6,01227142814592e+52
"sa03";"dd01";"dk03";6;0,00347894491077467;3,39211531091982e+42
"sa03";"dd01";"dk03";7;0,00372500847757545;5,75370469726753e+69
"sa03";"dd01";"dk03";8;0,00650755795237646;2,09607195541851e+47
"sa03";"dd01";"dk03";9;0,00275533285707791;1,23290382694311e+48
"sa03";"dd01";"dk04";1;0,00346984933618482;1,57573532323686e+71
"sa03";"dd01";"dk04";10;0,00496614951928076;1,57225942386119e+34
"sa03";"dd01";"dk04";2;0,00555958825484386;4,50403279976776e+31
"sa03";"dd01";"dk04";3;0,00429134301844595;3,6129591796546e+45
"sa03";"dd01";"dk04";4;0,00425353025803934;3,60672799578644e+21
"sa03";"dd01";"dk04";5;0,00342771961139636;1,60654187557983e+73
"sa03";"dd01";"dk04";6;0,00337747717831225;2,68597918056654e+32
"sa03";"dd01";"dk04";7;0,00508155994486488;1,50620856194954e+88
"sa03";"dd01";"dk04";8;0,0066281502136438;3,82604853298044e+65
"sa03";"dd01";"dk04";9;0,00292826204303486;1,04561314051439e+34
"sa03";"dd01";"dk05";1;0,00446814276668768;7,85244188975349e+57
"sa03";"dd01";"dk05";10;0,00694371002892516;3,68802572547205e+33
"sa03";"dd01";"dk05";2;0,00723266480737866;2,2280390672947e+29
"sa03";"dd01";"dk05";3;0,00483592067918907;1,46882261492442e+53
"sa03";"dd01";"dk05";4;0,00464101218548981;226303920064875776
"sa03";"dd01";"dk05";5;0,00384305141079008;5,31477493905576e+69
"sa03";"dd01";"dk05";6;0,00480862887908081;8,1885404389848e+20
"sa03";"dd01";"dk05";7;0,00643143597840044;1,08546399424431e+68
"sa03";"dd01";"dk05";8;0,00762169216350791;8,24808078039734e+47
"sa03";"dd01";"dk05";9;0,00455910997465345;1,2366307022337e+35
"sa04";"dd01";"dk01";1;0,00243270091824514;373507753735560
"sa04";"dd01";"dk01";10;0,00419220279935564;1,81180863796782e+29
"sa04";"dd01";"dk01";2;0,00404863129663711;1,33572704589345e+31
"sa04";"dd01";"dk01";3;0,00232785455778884;1,09942867465595e+32
"sa04";"dd01";"dk01";4;0,00336919914310125;5,39046474533078e+27
"sa04";"dd01";"dk01";5;0,00228838886882998;1,29648242001467e+38
"sa04";"dd01";"dk01";6;0,00212653158919629;1,64649012631222e+30
"sa04";"dd01";"dk01";7;0,00364801006165703;1,07265624510565e+94
"sa04";"dd01";"dk01";8;0,00334887322628651;8,46207191007998e+35
"sa04";"dd01";"dk01";9;0,00271373953989048;1,55990180653102e+24
"sa04";"dd01";"dk02";1;0,0028028098705198;3,49555286823786e+23
"sa04";"dd01";"dk02";10;0,00464401308646315;3,21229906770546e+28
"sa04";"dd01";"dk02";2;0,00458336448270176;2,26896148354734e+22
"sa04";"dd01";"dk02";3;0,0023201042821744;3,0891959748318e+38
"sa04";"dd01";"dk02";4;0,00293447891200462;4849276405012584
"sa04";"dd01";"dk02";5;0,00231185823379166;2,31392947589935e+56
"sa04";"dd01";"dk02";6;0,00256046784421917;1,20197283391575e+33
"sa04";"dd01";"dk02";7;0,00381032382386897;1,74640184503253e+86
"sa04";"dd01";"dk02";8;0,0044370504111934;3,35279823597254e+44
"sa04";"dd01";"dk02";9;0,00278615704250146;1,55993560915614e+24
"sa04";"dd01";"dk03";1;0,00263893228273622;1,56200518346056e+20
"sa04";"dd01";"dk03";10;0,00444341883131084;3,39238402131265e+34
"sa04";"dd01";"dk03";2;0,0057347982340692;4,63571018031008e+26
"sa04";"dd01";"dk03";3;0,00367038997399627;1,1068187498229e+39
"sa04";"dd01";"dk03";4;0,0033016228914368;5,50561978967818e+27
"sa04";"dd01";"dk03";5;0,00256988806426027;4,50849834537945e+51
"sa04";"dd01";"dk03";6;0,00307997196980977;4,38722988470794e+37
"sa04";"dd01";"dk03";7;0,00413128535660286;2,73652681757118e+79
"sa04";"dd01";"dk03";8;0,00565736378566927;5,15893646049288e+52
"sa04";"dd01";"dk03";9;0,00312595345570663;3,36089624549397e+41
"sa04";"dd01";"dk04";1;0,003823407078826;1,22567425175502e+53
"sa04";"dd01";"dk04";10;0,00587237823671803;2,83934032834573e+38
"sa04";"dd01";"dk04";2;0,00595351886091744;8,91481964702891e+23
"sa04";"dd01";"dk04";3;0,0036201915184472;2,24103815111775e+39
"sa04";"dd01";"dk04";4;0,00417777750328939;9,53185072491876e+22
"sa04";"dd01";"dk04";5;0,00306004539048927;8,39277417633301e+62
"sa04";"dd01";"dk04";6;0,0042762335031533;5,50710649183703e+22
"sa04";"dd01";"dk04";7;0,00417631421109015;2,21395748305428e+74
"sa04";"dd01";"dk04";8;0,00624364017175571;5,02943458266421e+43
"sa04";"dd01";"dk04";9;0,00333202991708427;4,37750535150772e+41
"sa04";"dd01";"dk05";1;0,0044664400792303;1,17748666915018e+56
"sa04";"dd01";"dk05";10;0,00671217745260189;1,29716480812276e+36
"sa04";"dd01";"dk05";2;0,00714892185454195;84138609119117869056
"sa04";"dd01";"dk05";3;0,00444662707420762;4,94701342381326e+51
"sa04";"dd01";"dk05";4;0,00488252937804101;3,15941537759402e+37
"sa04";"dd01";"dk05";5;0,00388679244694151;3,33534527888576e+66
"sa04";"dd01";"dk05";6;0,00495538402840135;2,38772187949211e+23
"sa04";"dd01";"dk05";7;0,00693526190805514;7,55489797950183e+93
"sa04";"dd01";"dk05";8;0,00719129142914277;4,52019538263558e+46
"sa04";"dd01";"dk05";9;0,00473248182596936;2,80739696847111e+30
"sa05";"dd01";"dk01";1;0,00249787877775696;7,70857669438181e+20
"sa05";"dd01";"dk01";10;0,00372021940465989;2,13013385207225e+31
"sa05";"dd01";"dk01";2;0,00442909266834982;1,37751378688426e+20
"sa05";"dd01";"dk01";3;0,00213933835898146;4,42138661418168e+40
"sa05";"dd01";"dk01";4;0,00307748154229244;4053065217587185
"sa05";"dd01";"dk01";5;0,00187806668800749;2,07772245200613e+41
"sa05";"dd01";"dk01";6;0,0025705150591798;1,54241236359893e+20
"sa05";"dd01";"dk01";7;0,00354375557173591;6,8650029296028e+72
"sa05";"dd01";"dk01";8;0,00366179870660136;1,67287432059342e+39
"sa05";"dd01";"dk01";9;0,0019435811523803;1806052952494293
"sa05";"dd01";"dk02";1;0,00238404622069603;480417799922606
"sa05";"dd01";"dk02";10;0,00408066855890274;1,12527192948788e+27
"sa05";"dd01";"dk02";2;0,00404105620247748;9,05893354426147e+20
"sa05";"dd01";"dk02";3;0,00274359376939928;6,5183506984861e+22
"sa05";"dd01";"dk02";4;0,00276232508750307;8704465757989,37
"sa05";"dd01";"dk02";5;0,002069335001327;9,21131746823764e+45
"sa05";"dd01";"dk02";6;0,0037237361601347;3,58628671229154e+24
"sa05";"dd01";"dk02";7;0,00357324983492971;2,16128742090568e+83
"sa05";"dd01";"dk02";8;0,00370023510113832;1,75805138142746e+43
"sa05";"dd01";"dk02";9;0,00279128180437576;2,48009235874345e+25
"sa05";"dd01";"dk03";1;0,00303588842619742;1,4683867601645e+49
"sa05";"dd01";"dk03";10;0,00470694091022822;1,62627011545376e+29
"sa05";"dd01";"dk03";2;0,00537110144117416;9,25889243070387e+20
"sa05";"dd01";"dk03";3;0,00286263397084494;1,05180208294581e+22
"sa05";"dd01";"dk03";4;0,00339123644514563;24236570891501,1
"sa05";"dd01";"dk03";5;0,00245876645280128;1,38764579380985e+62
"sa05";"dd01";"dk03";6;0,00389826938454422;8,57769385449696e+20
"sa05";"dd01";"dk03";7;0,0051442004906083;3,32504533227656e+77
"sa05";"dd01";"dk03";8;0,00508529856800227;3,60216282376712e+46
"sa05";"dd01";"dk03";9;0,00287698324444538;9,58822732634633e+25
"sa05";"dd01";"dk04";1;0,00390099451722527;1,10153934160454e+42
"sa05";"dd01";"dk04";10;0,0055804173377181;5,16216202628701e+35
"sa05";"dd01";"dk04";2;0,0051976933537852;2,02661854813247e+25
"sa05";"dd01";"dk04";3;0,00383680752845606;8,27315386168909e+26
"sa05";"dd01";"dk04";4;0,00418537109374597;111784201547127
"sa05";"dd01";"dk04";5;0,00302355059966787;2,66707761185517e+90
"sa05";"dd01";"dk04";6;0,00412634042099697;1,00914701499883e+21
"sa05";"dd01";"dk04";7;0,00499481077515403;2,32142813674822e+91
"sa05";"dd01";"dk04";8;0,00632425370778073;7,04803472134665e+57
"sa05";"dd01";"dk04";9;0,00394294648168423;3,24287561735002e+59
"sa05";"dd01";"dk05";1;0,00464942332536921;7,48065084628149e+61
"sa05";"dd01";"dk05";10;0,00580436845244647;2,26291073692236e+34
"sa05";"dd01";"dk05";2;0,00699681502960793;8,5348310155221e+25
"sa05";"dd01";"dk05";3;0,00445819470520749;1,17886676539103e+41
"sa05";"dd01";"dk05";4;0,00486046496339879;5,50951197137442e+20
"sa05";"dd01";"dk05";5;0,00382652461530013;4,95491985163023e+87
"sa05";"dd01";"dk05";6;0,00481554141082396;61312042573898416
"sa05";"dd01";"dk05";7;0,00663197565295253;4,97839534564704e+96
"sa05";"dd01";"dk05";8;0,00680463122373881;2,84277747173442e+57
"sa05";"dd01";"dk05";9;0,00480833483475184;1,35096670797163e+52
"sa01";"dd02";"dk01";1;0,00273157487753477;1,85753029421313e+103
"sa01";"dd02";"dk01";10;0,00375057905271363;2,10324707988407e+82
"sa01";"dd02";"dk01";2;0,00283205632350086;5,45037682695818e+77
"sa01";"dd02";"dk01";3;0,00426933596572128;6,76663228386016e+99
"sa01";"dd02";"dk01";4;0,00263526443355018;2,40725550633789e+93
"sa01";"dd02";"dk01";5;0,00325081959949145;3,77286753372203e+94
"sa01";"dd02";"dk01";6;0,00385896875017592;1,0761882213697e+90
"sa01";"dd02";"dk01";7;0,00228263297439514;2,07360031317362e+80
"sa01";"dd02";"dk01";8;0,00779139518052203;5,22942050750105e+113
"sa01";"dd02";"dk01";9;0,00252243914442608;2,05668768255361e+100
"sa01";"dd02";"dk02";1;0,00340421948739397;7,88703153544416e+108
"sa01";"dd02";"dk02";10;0,0037906387896396;7,93881057507592e+75
"sa01";"dd02";"dk02";2;0,00344161576663642;2,88267373865893e+80
"sa01";"dd02";"dk02";3;0,00619846559195318;6,21810079666622e+120
"sa01";"dd02";"dk02";4;0,00359174552466126;5,42998528791247e+84
"sa01";"dd02";"dk02";5;0,0042779186735705;8,49969566472197e+86
"sa01";"dd02";"dk02";6;0,00592427005228405;2,93912636828703e+87
"sa01";"dd02";"dk02";7;0,00280533480273907;1,13847181122796e+94
"sa01";"dd02";"dk02";8;0,00738732228078961;5,32906319310481e+121
"sa01";"dd02";"dk02";9;0,00239645449857806;3,80919192967576e+100
"sa01";"dd02";"dk03";1;0,00298943318433436;2,05762991649171e+103
"sa01";"dd02";"dk03";10;0,0049815902679641;1,5777387570699e+95
"sa01";"dd02";"dk03";2;0,00379284754670923;4,23588674589149e+74
"sa01";"dd02";"dk03";3;0,00616246367129997;1,27082895505851e+106
"sa01";"dd02";"dk03";4;0,00412762522991198;3,70592530937155e+81
"sa01";"dd02";"dk03";5;0,00448938654441632;3,52737279178934e+87
"sa01";"dd02";"dk03";6;0,00674035324185257;6,04777771163339e+91
"sa01";"dd02";"dk03";7;0,00380125423960756;2,43753424654985e+86
"sa01";"dd02";"dk03";8;0,0105768238192252;4,75874358431006e+120
"sa01";"dd02";"dk03";9;0,00305629767970137;2,42756430645189e+111
"sa01";"dd02";"dk04";1;0,004858927821904;2,21222805234891e+103
"sa01";"dd02";"dk04";10;0,0056321769036733;5,89749494199133e+83
"sa01";"dd02";"dk04";2;0,0049335300861032;1,63359240475893e+87
"sa01";"dd02";"dk04";3;0,00724399406968016;3,43929083724779e+113
"sa01";"dd02";"dk04";4;0,00425274386683269;1,45555388612669e+96
"sa01";"dd02";"dk04";5;0,00587737245033851;1,13577785268644e+83
"sa01";"dd02";"dk04";6;0,0076201310107788;3,56079306264709e+107
"sa01";"dd02";"dk04";7;0,00396216593470154;9,22430988959635e+87
"sa01";"dd02";"dk04";8;0,0130553995456401;4,43897807104018e+112
"sa01";"dd02";"dk04";9;0,00487793686503986;1,86624220328183e+109
"sa01";"dd02";"dk05";1;0,00513254313203041;7,55405987699652e+86
"sa01";"dd02";"dk05";10;0,00735458299172401;8,64208841454329e+94
"sa01";"dd02";"dk05";2;0,00566688391835593;5,93052040612563e+85
"sa01";"dd02";"dk05";3;0,00913183707799784;3,28334572879595e+101
"sa01";"dd02";"dk05";4;0,00546937419186308;1,14533404118512e+74
"sa01";"dd02";"dk05";5;0,00698523836157287;2,64103603043127e+94
"sa01";"dd02";"dk05";6;0,00942951707114205;8,87298478554613e+106
"sa01";"dd02";"dk05";7;0,00490844599642317;5,03966577021973e+110
"sa01";"dd02";"dk05";8;0,0160479219656475;2,83299203718654e+120
"sa01";"dd02";"dk05";9;0,00529394927812021;2,55338037973033e+111
"sa02";"dd02";"dk01";1;0,00308862493040536;6,36561491532197e+91
"sa02";"dd02";"dk01";10;0,00308602697682399;7,87397203158429e+75
"sa02";"dd02";"dk01";2;0,00245513486825868;3,27414736523909e+41
"sa02";"dd02";"dk01";3;0,00587607115315977;6,54451780280221e+113
"sa02";"dd02";"dk01";4;0,00256655087415655;1,67557229142691e+71
"sa02";"dd02";"dk01";5;0,00432305047416841;3,40755047895159e+102
"sa02";"dd02";"dk01";6;0,00592105760693378;1,34094278198515e+111
"sa02";"dd02";"dk01";7;0,00235405862534506;1,52875082312042e+88
"sa02";"dd02";"dk01";8;0,00921479129505147;1,32744597804352e+104
"sa02";"dd02";"dk01";9;0,00207115869060756;1,31148093528605e+103
"sa02";"dd02";"dk02";1;0,00387058341651617;1,03343665852551e+101
"sa02";"dd02";"dk02";10;0,00331567896866866;1,81911305140272e+67
"sa02";"dd02";"dk02";2;0,00380976155982517;3,86808523053392e+91
"sa02";"dd02";"dk02";3;0,00645647878045953;1,80908843120926e+100
"sa02";"dd02";"dk02";4;0,00321678318095043;3,56300825613531e+73
"sa02";"dd02";"dk02";5;0,00374485976421769;7,1828001660879e+89
"sa02";"dd02";"dk02";6;0,00680271148376564;1,08914191861484e+104
"sa02";"dd02";"dk02";7;0,00283296661805648;1,30070165902369e+110
"sa02";"dd02";"dk02";8;0,0104959108156992;3,63309265470941e+99
"sa02";"dd02";"dk02";9;0,00303334170836782;1,31750584884284e+119
"sa02";"dd02";"dk03";1;0,00291311581836443;1,22405663432678e+95
"sa02";"dd02";"dk03";10;0,00441132705362155;4,34910637635141e+85
"sa02";"dd02";"dk03";2;0,00412288833317696;8,0047182221954e+102
"sa02";"dd02";"dk03";3;0,0074396828052772;8,08448780085361e+133
"sa02";"dd02";"dk03";4;0,00438078745659728;1,99129732389182e+65
"sa02";"dd02";"dk03";5;0,0046088225989266;1,77670805123199e+97
"sa02";"dd02";"dk03";6;0,00687498300720142;5,88387374094493e+108
"sa02";"dd02";"dk03";7;0,00361640436708887;1,91527581312691e+95
"sa02";"dd02";"dk03";8;0,0119195069368762;1,96524884150988e+95
"sa02";"dd02";"dk03";9;0,00374337183873562;1,54661585331482e+100
"sa02";"dd02";"dk04";1;0,00433536947524456;7,33772352710948e+95
"sa02";"dd02";"dk04";10;0,00584077625698922;1,47892722420358e+73
"sa02";"dd02";"dk04";2;0,0047146091265441;1,94838365577172e+87
"sa02";"dd02";"dk04";3;0,00848992858559321;2,40378367653707e+117
"sa02";"dd02";"dk04";4;0,00462765475904313;6,79566222706843e+62
"sa02";"dd02";"dk04";5;0,00578874812799694;2,88651702008587e+82
"sa02";"dd02";"dk04";6;0,00840619898221127;1,46414459211884e+110
"sa02";"dd02";"dk04";7;0,00416853548601596;5,4001164183853e+85
"sa02";"dd02";"dk04";8;0,0113525424334446;6,39249443910531e+105
"sa02";"dd02";"dk04";9;0,00375552768788743;2,18431892222079e+98
"sa02";"dd02";"dk05";1;0,00536749549435631;4,49975823941121e+89
"sa02";"dd02";"dk05";10;0,00728879987731479;3,50474437127745e+84
"sa02";"dd02";"dk05";2;0,00588637695373207;4,62826445645969e+72
"sa02";"dd02";"dk05";3;0,00981458912318355;1,33712360006254e+96
"sa02";"dd02";"dk05";4;0,00597204850174235;4,2273147744308e+53
"sa02";"dd02";"dk05";5;0,0070548110002348;2,06847731287362e+103
"sa02";"dd02";"dk05";6;0,00959878879933139;2,65645035828552e+129
"sa02";"dd02";"dk05";7;0,0049377525264844;2,73507606585716e+88
"sa02";"dd02";"dk05";8;0,0158105880479981;3,04259159635278e+109
"sa02";"dd02";"dk05";9;0,00535791068777726;1,24441938508934e+112
"sa03";"dd02";"dk01";1;0,00277105511267431;5,18379707631004e+101
"sa03";"dd02";"dk01";10;0,00338040478670342;4,51115161431679e+74
"sa03";"dd02";"dk01";2;0,00364731269867915;2,01826972699254e+75
"sa03";"dd02";"dk01";3;0,00523514771384893;3,03189066272949e+118
"sa03";"dd02";"dk01";4;0,00358748442814439;2,31886619031556e+86
"sa03";"dd02";"dk01";5;0,00250915039984756;6,41839898887736e+61
"sa03";"dd02";"dk01";6;0,00554340347971227;3,24882872347007e+127
"sa03";"dd02";"dk01";7;0,00346544345251086;2,72692716060478e+86
"sa03";"dd02";"dk01";8;0,00730463084141559;2,04560852841148e+79
"sa03";"dd02";"dk01";9;0,00346169251356563;3,73929467382452e+107
"sa03";"dd02";"dk02";1;0,0028180276664765;7,15481723845357e+92
"sa03";"dd02";"dk02";10;0,00422934275129447;3,74899846010216e+81
"sa03";"dd02";"dk02";2;0,00469693830160546;1,51881666229059e+81
"sa03";"dd02";"dk02";3;0,00434955252537101;1,80101576808114e+106
"sa03";"dd02";"dk02";4;0,00327395786834288;7,55642144130092e+99
"sa03";"dd02";"dk02";5;0,00476351636287681;6,10059021043948e+71
"sa03";"dd02";"dk02";6;0,00422980230792991;2,82326897659203e+96
"sa03";"dd02";"dk02";7;0,00336571574322557;3,10668448586358e+82
"sa03";"dd02";"dk02";8;0,00962737327801801;1,73058296808824e+100
"sa03";"dd02";"dk02";9;0,00407767984296675;3,18198683014321e+110
"sa03";"dd02";"dk03";1;0,00393796545591511;4,91867308662247e+115
"sa03";"dd02";"dk03";10;0,00477907657617819;9,34558676043609e+89
"sa03";"dd02";"dk03";2;0,00429941433479807;8,33112796595873e+73
"sa03";"dd02";"dk03";3;0,00642251441291484;8,14170125351364e+96
"sa03";"dd02";"dk03";4;0,00439612206087382;1,49705995916399e+68
"sa03";"dd02";"dk03";5;0,00534708556789595;1,58088502133145e+86
"sa03";"dd02";"dk03";6;0,00683752206405552;3,32745770946742e+121
"sa03";"dd02";"dk03";7;0,00396746522418907;9,90403753021349e+83
"sa03";"dd02";"dk03";8;0,00986262015889557;7,02795675586863e+95
