"cell_id";"species";"deg"
1043;"Melicytus_ramiflorus";5
1043;"Myrsine_australis";5
1043;"Podocarpus_cunninghamii";4
1043;"Prumnopitys_ferruginea";4
1043;"Pseudopanax_arboreus";5
1043;"Pseudopanax_crassifolius";6
1043;"Ripogonum_scandens";4
1043;"Rubus_cissoides";2
1043;"Anthornis_melanura";29
1043;"Gerygone_igata";31
1043;"Mohoua_albicilla";10
1043;"Petroica_macrocephala";24
1043;"Prosthemadera_novaeseelandiae";31
1043;"Turdus_merula";40
1043;"Zosterops_lateralis";41
105;"Coprosma_rhamnoides";2
105;"Dacrycarpus_dacrydioides";4
105;"Geniostoma_ligustrifolium";1
105;"Hedycarya_arborea";2
105;"Leucopogon_fasciculatus";2
105;"Melicytus_ramiflorus";4
105;"Myrsine_australis";4
105;"Podocarpus_totara";4
105;"Pseudopanax_crassifolius";5
105;"Rhopalostylis_sapida";1
105;"Gerygone_igata";19
105;"Hemiphaga_novaeseelandiae";21
105;"Petroica_macrocephala";15
105;"Prosthemadera_novaeseelandiae";22
105;"Turdus_merula";24
105;"Zosterops_lateralis";26
1050;"Griselinia_littoralis";5
1050;"Leucopogon_fasciculatus";3
1050;"Anthornis_melanura";14
1050;"Gerygone_igata";24
1050;"Petroica_australis";8
1050;"Prosthemadera_novaeseelandiae";14
1050;"Turdus_merula";25
1050;"Zosterops_lateralis";24
1051;"Carpodetus_serratus";5
1051;"Coprosma_foetidissima";3
1051;"Coprosma_linariifolia";2
1051;"Coprosma_lucida";4
1051;"Coprosma_rhamnoides";3
1051;"Coprosma_tenuifolia";1
1051;"Dacrydium_cupressinum";6
1051;"Elaeocarpus_hookerianus";2
1051;"Griselinia_littoralis";5
1051;"Leucopogon_fasciculatus";3
1051;"Myrsine_divaricata";2
1051;"Neomyrtus_pedunculata";2
1051;"Podocarpus_cunninghamii";4
1051;"Prumnopitys_ferruginea";4
1051;"Pseudopanax_crassifolius";6
1051;"Pseudowintera_colorata";3
1051;"Raukaua_simplex";6
1051;"Rubus_cissoides";2
1051;"Acanthisitta_chloris";6
1051;"Anthornis_melanura";32
1051;"Gerygone_igata";29
1051;"Mohoua_albicilla";11
1051;"Petroica_australis";9
1051;"Petroica_macrocephala";21
1051;"Prosthemadera_novaeseelandiae";22
1051;"Rhipidura_fuliginosa";20
1051;"Turdus_merula";35
1051;"Zosterops_lateralis";40
1052;"Carpodetus_serratus";5
1052;"Coprosma_rhamnoides";3
1052;"Coprosma_tenuifolia";1
1052;"Griselinia_littoralis";6
1052;"Leucopogon_fasciculatus";2
1052;"Melicytus_ramiflorus";6
1052;"Rubus_cissoides";2
1052;"Anthornis_melanura";21
1052;"Gerygone_igata";27
1052;"Hemiphaga_novaeseelandiae";5
1052;"Mohoua_albicilla";11
1052;"Prosthemadera_novaeseelandiae";20
1052;"Turdus_merula";30
1052;"Zosterops_lateralis";32
1054;"Melicytus_ramiflorus";4
1054;"Myrsine_australis";3
1054;"Prosthemadera_novaeseelandiae";23
1054;"Turdus_merula";30
1054;"Turdus_philomelos";14
1054;"Zosterops_lateralis";30
1056;"Coprosma_rhamnoides";2
1056;"Cordyline_australis";3
1056;"Melicytus_ramiflorus";4
1056;"Myrsine_australis";3
1056;"Prosthemadera_novaeseelandiae";22
1056;"Turdus_merula";27
1056;"Turdus_philomelos";14
1056;"Zosterops_lateralis";28
1057;"Cordyline_australis";3
1057;"Melicytus_ramiflorus";4
1057;"Myrsine_australis";3
1057;"Prosthemadera_novaeseelandiae";19
1057;"Turdus_merula";23
1057;"Turdus_philomelos";10
1057;"Zosterops_lateralis";22
106;"Coprosma_robusta";3
106;"Cordyline_australis";2
106;"Hedycarya_arborea";1
106;"Leucopogon_fasciculatus";2
106;"Macropiper_excelsum";3
106;"Melicytus_ramiflorus";3
106;"Myrsine_australis";3
106;"Prosthemadera_novaeseelandiae";18
106;"Turdus_merula";20
106;"Zosterops_lateralis";21
1061;"Melicytus_ramiflorus";2
1061;"Myrsine_australis";2
1061;"Turdus_merula";17
1061;"Zosterops_lateralis";16
1062;"Hedycarya_arborea";2
1062;"Leucopogon_fasciculatus";2
1062;"Melicytus_ramiflorus";5
1062;"Myrsine_australis";4
1062;"Pseudopanax_crassifolius";5
1062;"Anthornis_melanura";16
1062;"Gerygone_igata";19
1062;"Petroica_macrocephala";14
1062;"Prosthemadera_novaeseelandiae";18
