"x";"y";"direct.effect";"net.effect";"diag"
47;1;0;7,57943574248513e-15;FALSE
48;1;-0,331338099563718;5,30155024448222;FALSE
49;1;0;-4,13558076672871e-15;FALSE
50;1;0;-6,95233801084605e-15;FALSE
1;2;0;-9,7979350327515e-16;FALSE
2;2;-1,43584007885631;0,696456391436386;TRUE
3;2;0;2,50775962495897e-16;FALSE
4;2;0;1,17722333075297e-16;FALSE
5;2;0;0,309384418233818;FALSE
6;2;0;4,70079992320087e-17;FALSE
7;2;0;0,198227441570307;FALSE
8;2;0;-8,22719713536313e-16;FALSE
9;2;0;0,386018369639758;FALSE
10;2;0;-0,0542591472842898;FALSE
11;2;-0,212910323378095;0,559416436591687;FALSE
12;2;0;0,320783363012179;FALSE
13;2;0;-0,0307545035835753;FALSE
14;2;0;-1,67654025343432e-16;FALSE
15;2;0;0,215185466903353;FALSE
16;2;0;-0,165773289633571;FALSE
17;2;0;3,32016586532952e-16;FALSE
18;2;0;-1,2412590215654e-15;FALSE
19;2;0;-0,274451034753665;FALSE
20;2;0;4,14208441804662e-17;FALSE
21;2;0;-0,216133235808751;FALSE
22;2;0;3,34693210646275e-16;FALSE
23;2;0;-1,05032085459533e-17;FALSE
24;2;0;-0,217161536776426;FALSE
25;2;0;1,26649382713e-15;FALSE
26;2;0;0,204188884139984;FALSE
27;2;0;0,0814979540055244;FALSE
28;2;0;-4,64905891561784e-16;FALSE
29;2;0;4,41466795845363e-16;FALSE
30;2;0;-8,3945094358519e-17;FALSE
31;2;0;-5,50769621424953e-16;FALSE
32;2;0;-2,23512936539097e-16;FALSE
33;2;-0,791437770761591;-0,638127840161423;FALSE
34;2;0;2,66171633345191e-17;FALSE
35;2;0;1,7315792896766e-15;FALSE
36;2;0;5,52536955669399e-16;FALSE
37;2;0;-0,138409996346158;FALSE
38;2;-0,00178988460774101;-0,557423273124959;FALSE
39;2;0;3,90641748515671e-16;FALSE
40;2;0;3,64373245118066e-16;FALSE
41;2;0;-1,50631257142021e-16;FALSE
42;2;0;9,33443860401395e-16;FALSE
43;2;0;-2,11121691553713e-16;FALSE
44;2;-0,577300259370679;-0,54050710951526;FALSE
45;2;0;7,1115361592166e-16;FALSE
46;2;0;1,29475423438219e-15;FALSE
47;2;0;-1,50366455842012e-16;FALSE
48;2;-0,223449177770724;-0,810654862245562;FALSE
49;2;0;-6,91287305176758e-16;FALSE
50;2;0;2,7613951706848e-16;FALSE
1;3;0;-6,94756752128711e-15;FALSE
2;3;0;2,01545052348762e-15;FALSE
3;3;-0,238145821676397;4,19910789515695;TRUE
4;3;0;2,17740322300264e-15;FALSE
5;3;0;22,4938034651244;FALSE
6;3;0;-4,74070110424718e-15;FALSE
7;3;0;19,4147242713825;FALSE
8;3;0;1,94956897847653e-14;FALSE
9;3;0;10,5815973601874;FALSE
10;3;0;-7,22688001752101;FALSE
11;3;-0,0824117808634333;12,2299023362338;FALSE
12;3;0;32,0698861136656;FALSE
13;3;0;-0,672351669747254;FALSE
14;3;0;-7,19566008340611e-15;FALSE
15;3;0;8,24197508756402;FALSE
16;3;0;-12,0525520259608;FALSE
17;3;0;-3,72098185597025e-16;FALSE
18;3;0;9,25431606346727e-15;FALSE
19;3;0;-7,58042304502412;FALSE
20;3;0;1,48322541789338e-15;FALSE
21;3;-0,68780146197872;-10,1481207557433;FALSE
22;3;0;1,08801856413265e-14;FALSE
23;3;0;-1,05258683713583e-14;FALSE
24;3;0;-21,2691609469654;FALSE
25;3;0;-3,02720088579678e-15;FALSE
26;3;0;7,70912154369294;FALSE
27;3;-0,0822407905193134;-1,89085757556966;FALSE
28;3;0;2,08721928629529e-14;FALSE
29;3;0;3,96644522782097e-15;FALSE
30;3;0;-4,33992238305612e-15;FALSE
31;3;0;-1,82102596890665e-15;FALSE
32;3;0;-1,07338725581496e-15;FALSE
33;3;0;3,28965050552986;FALSE
34;3;0;1,65752828129584e-15;FALSE
35;3;0;1,43218770176645e-14;FALSE
36;3;0;-5,22847010912125e-15;FALSE
37;3;0;-6,30779724203084;FALSE
38;3;0;-12,0988046934825;FALSE
39;3;0;7,95021736161097e-15;FALSE
40;3;0;-3,48245737802344e-16;FALSE
41;3;0;-6,86668603921969e-15;FALSE
42;3;0;9,9850683277225e-15;FALSE
43;3;0;-4,22388903367765e-15;FALSE
44;3;-0,603324176104578;16,3659360053834;FALSE
45;3;0;4,11465566479974e-15;FALSE
46;3;0;-1,47243328640911e-14;FALSE
47;3;0;-9,24717956236449e-15;FALSE
48;3;0;-9,78994592189747;FALSE
49;3;0;2,1094237467878e-15;FALSE
50;3;0;7,33701294164391e-15;FALSE
1;4;0;4,50594422884976e-16;FALSE
2;4;0;2,24021579823923e-16;FALSE
3;4;0;4,413136522885e-15;FALSE
4;4;-1,57173418814664;0,636239898286604;TRUE
5;4;0;-4,83276413517551;FALSE
6;4;0;1,59453613507443e-15;FALSE
7;4;-0,262176148508503;-4,1768120381696;FALSE
8;4;0;-4,22990635573495e-15;FALSE
9;4;0;-2,37419692876641;FALSE
10;4;0;1,3970624286945;FALSE
11;4;0;-3,31790181902954;FALSE
12;4;0;-6,82549055110598;FALSE
13;4;-1,22146502284944;-0,62566291252648;FALSE
14;4;0;2,00017851944862e-15;FALSE
15;4;0;-1,64071433843597;FALSE
16;4;0;2,58947497512858;FALSE
17;4;0;-1,91535155791289e-15;FALSE
18;4;0;-8,15428453926348e-16;FALSE
